;
Common name,NASA Number,Designator,Country,Launch Date,Site,Decay date/Orbit,Period(min),Perigee,Apogee,Inclination
;
;    Spacecraft launched from Earth
COSMOS  824,8877,1976 052A,USSR,8-Jun-76,TYMSC,21-Jun-76,89.8,204,325,71.4
COSMOS  825,8889,1976 054A,USSR,15-Jun-76,PLMSC,Earth orbit,114.6,1393,1484,74.0
COSMOS  826,8890,1976 054B,USSR,15-Jun-76,PLMSC,Earth orbit,116.2,1479,1542,74.0
COSMOS  827,8891,1976 054C,USSR,15-Jun-76,PLMSC,Earth orbit,114.9,1411,1487,74.0
COSMOS  828,8892,1976 054D,USSR,15-Jun-76,PLMSC,Earth orbit,115.1,1430,1487,74.0
COSMOS  829,8893,1976 054E,USSR,15-Jun-76,PLMSC,Earth orbit,115.3,1447,1489,74.0
COSMOS  830,8894,1976 054F,USSR,15-Jun-76,PLMSC,Earth orbit,115.5,1466,1491,74.0
COSMOS  831,8895,1976 054G,USSR,15-Jun-76,PLMSC,Earth orbit,115.7,1473,1504,74.0
COSMOS  832,8896,1976 054H,USSR,15-Jun-76,PLMSC,Earth orbit,116.0,1480,1518,74.0
COSMOS  833,8898,1976 055A,USSR,16-Jun-76,PLMSC,29-Jun-76,89.4,180,316,62.8
COSMOS  834,8914,1976 058A,USSR,24-Jun-76,PLMSC,6-Jul-76,89.1,216,237,81.4
COSMOS  835,8922,1976 060A,USSR,29-Jun-76,TYMSC,12-Jul-76,89.4,174,317,65.0
COSMOS  836,8923,1976 061A,USSR,29-Jun-76,PLMSC,Earth orbit,100.6,773,801,74.1
COSMOS  837,8927,1976 062A,USSR,1-Jul-76,PLMSC,18-Nov-83,98.5,438,936,62.8
COSMOS  838,8932,1976 063A,USSR,2-Jul-76,TYMSC,23-Aug-77,93.3,428,440,65.1
COSMOS  839,9011,1976 067A,USSR,8-Jul-76,PLMSC,Earth orbit,115.6,915,2053,65.9
COSMOS  840,9019,1976 068A,USSR,14-Jul-76,PLMSC,26-Jul-76,89.7,203,319,72.9
COSMOS  841,9022,1976 069A,USSR,15-Jul-76,PLMSC,Earth orbit,100.4,769,789,74.0
COSMOS  842,9025,1976 070A,USSR,21-Jul-76,PLMSC,Earth orbit,104.8,963,1004,83.0
COSMOS  843,9043,1976 071A,USSR,21-Jul-76,TYMSC,21-Jul-76,89.3,132,346,65.1
COSMOS  844,9046,1976 072A,USSR,22-Jul-76,PLMSC,30-Aug-76,89.8,172,353,67.2
COSMOS  845,9053,1976 075A,USSR,27-Jul-76,PLMSC,15-Nov-80,95.4,487,597,74.0
COSMOS  846,9061,1976 078A,USSR,29-Jul-76,PLMSC,Earth orbit,104.6,946,1006,82.9
COSMOS  847,9214,1976 079A,USSR,4-Aug-76,PLMSC,17-Aug-76,89.5,181,321,62.8
COSMOS  848,9280,1976 082A,USSR,12-Aug-76,PLMSC,25-Aug-76,89.6,206,303,62.8
COSMOS  849,9382,1976 083A,USSR,18-Aug-76,PLMSC,24-Apr-78,96.0,264,865,71.0
COSMOS  850,9387,1976 084A,USSR,26-Aug-76,PLMSC,16-May-77,92.2,272,493,70.9
COSMOS  851,9389,1976 085A,USSR,27-Aug-76,PLMSC,5-Aug-89,90.7,300,313,81.2
COSMOS  852,9391,1976 086A,USSR,28-Aug-76,TYMSC,10-Sep-76,89.5,173,332,65.0
COSMOS  853,9398,1976 088A,USSR,1-Sep-76,PLMSC,31-Dec-76,91.6,243,461,62.8
COSMOS  854,9405,1976 090A,USSR,3-Sep-76,PLMSC,16-Sep-76,89.3,167,308,81.4
COSMOS  855,9433,1976 095A,USSR,21-Sep-76,PLMSC,3-Oct-76,89.9,221,321,72.9
COSMOS  856,9435,1976 096A,USSR,22-Sep-76,TYMSC,5-Oct-76,89.5,203,300,65.0
COSMOS  857,9439,1976 097A,USSR,24-Sep-76,PLMSC,7-Oct-76,89.6,177,331,62.8
COSMOS  858,9443,1976 098A,USSR,29-Sep-76,PLMSC,Earth orbit,100.5,774,794,74.1
COSMOS  859,9471,1976 099A,USSR,10-Oct-76,TYMSC,21-Oct-76,89.6,173,337,65.0
COSMOS  860,9486,1976 103A,USSR,17-Oct-76,TYMSC,Earth orbit,104.3,923,995,64.7
COSMOS  861,9494,1976 104A,USSR,21-Oct-76,TYMSC,Earth orbit,104.2,928,987,64.9
COSMOS  862,9495,1976 105A,USSR,22-Oct-76,PLMSC,Earth orbit,717.2,535,39791,64.4
COSMOS  863,9499,1976 106A,USSR,25-Oct-76,PLMSC,5-Nov-76,89.7,178,348,62.8
COSMOS  864,9509,1976 108A,USSR,29-Oct-76,PLMSC,Earth orbit,104.7,957,1002,82.9
COSMOS  865,9515,1976 109A,USSR,1-Nov-76,PLMSC,13-Nov-76,89.8,203,326,72.9
COSMOS  866,9532,1976 110A,USSR,11-Nov-76,TYMSC,23-Nov-76,89.2,180,287,65.0
COSMOS  867,9552,1976 111A,USSR,23-Nov-76,PLMSC,6-Dec-76,91.1,250,402,62.8
COSMOS  868,9561,1976 113A,USSR,26-Nov-76,TYMSC,8-Jul-78,93.3,422,444,65.0
COSMOS  869,9564,1976 114A,USSR,29-Nov-76,TYMSC,17-Dec-76,89.4,209,289,51.7
COSMOS  870,9573,1976 115A,USSR,2-Dec-76,PLMSC,20-Dec-80,95.3,504,563,74.0
COSMOS  871,9588,1976 118A,USSR,7-Dec-76,PLMSC,Earth orbit,114.6,1415,1462,74.0
COSMOS  872,9589,1976 118B,USSR,7-Dec-76,PLMSC,Earth orbit,114.4,1396,1462,74.0
COSMOS  873,9590,1976 118C,USSR,7-Dec-76,PLMSC,Earth orbit,115.5,1461,1494,74.0
COSMOS  874,9591,1976 118D,USSR,7-Dec-76,PLMSC,Earth orbit,115.7,1462,1513,74.0
COSMOS  875,9592,1976 118E,USSR,7-Dec-76,PLMSC,Earth orbit,114.8,1434,1461,74.0
COSMOS  876,9593,1976 118F,USSR,7-Dec-76,PLMSC,Earth orbit,116.0,1462,1536,74.0
COSMOS  877,9594,1976 118G,USSR,7-Dec-76,PLMSC,Earth orbit,115.0,1453,1461,74.0
COSMOS  878,9595,1976 118H,USSR,7-Dec-76,PLMSC,Earth orbit,115.3,1461,1473,74.0
COSMOS  879,9599,1976 119A,USSR,9-Dec-76,PLMSC,22-Dec-76,88.9,213,225,81.4
COSMOS  880,9601,1976 120A,USSR,9-Dec-76,PLMSC,8-Oct-79,96.3,558,614,65.8
COSMOS  881,9606,1976 121A,USSR,15-Dec-76,TYMSC,15-Dec-76,88.9,201,241,51.6
COSMOS  882,9607,1976 121B,USSR,15-Dec-76,TYMSC,15-Dec-76,88.5,191,213,51.6
COSMOS  883,9610,1976 122A,USSR,15-Dec-76,PLMSC,Earth orbit,104.7,952,1003,83.0
COSMOS  884,9614,1976 123A,USSR,17-Dec-76,TYMSC,29-Dec-76,89.6,169,345,65.1
COSMOS  885,9615,1976 124A,USSR,17-Dec-76,PLMSC,14-Oct-79,94.1,433,520,65.9
COSMOS  886,9634,1976 126A,USSR,27-Dec-76,TYMSC,Earth orbit,114.7,593,2291,65.8
COSMOS  887,9637,1976 128A,USSR,28-Dec-76,PLMSC,Earth orbit,104.6,945,1009,82.9
COSMOS  888,9658,1977 001A,USSR,6-Jan-77,TYMSC,19-Jan-77,89.5,170,325,65.0
COSMOS  889,9735,1977 003A,USSR,20-Jan-77,TYMSC,1-Feb-77,89.8,202,329,71.4
COSMOS  890,9737,1977 004A,USSR,20-Jan-77,PLMSC,Earth orbit,105.0,973,1013,83.0
COSMOS  891,9801,1977 006A,USSR,2-Feb-77,PLMSC,4-Feb-81,94.5,472,516,65.8
COSMOS  892,9812,1977 009A,USSR,9-Feb-77,PLMSC,22-Feb-77,90.4,159,427,72.9
COSMOS  893,9833,1977 011A,USSR,15-Feb-77,PLMSC,6-Oct-84,105.2,354,1656,74.0
COSMOS  894,9846,1977 013A,USSR,21-Feb-77,PLMSC,Earth orbit,104.8,961,1008,82.9
COSMOS  895,9853,1977 015A,USSR,26-Feb-77,PLMSC,22-Mar-92,93.3,433,442,81.2
COSMOS  896,9857,1977 016A,USSR,3-Mar-77,PLMSC,16-Mar-77,88.6,202,206,72.9
COSMOS  897,9860,1977 017A,USSR,10-Mar-77,PLMSC,23-Mar-77,89.6,171,340,72.9
COSMOS  898,9871,1977 020A,USSR,17-Mar-77,PLMSC,30-Mar-77,89.0,216,230,81.4
COSMOS  899,9883,1977 022A,USSR,24-Mar-77,PLMSC,19-Oct-80,95.2,503,547,74.1
COSMOS  900,9898,1977 023A,USSR,29-Mar-77,PLMSC,11-Oct-79,94.4,457,522,83.0
COSMOS  901,9905,1977 025A,USSR,5-Apr-77,PLMSC,28-Jun-78,95.5,269,820,71.0
COSMOS  902,9908,1977 026A,USSR,7-Apr-77,PLMSC,20-Apr-77,89.0,168,279,81.4
COSMOS  903,9911,1977 027A,USSR,11-Apr-77,PLMSC,Earth orbit,718.4,2701,37681,67.7
COSMOS  904,9930,1977 028A,USSR,20-Apr-77,TYMSC,4-May-77,89.8,203,328,71.4
COSMOS  905,9937,1977 030A,USSR,26-Apr-77,PLMSC,26-May-77,90.3,170,413,67.1
COSMOS  906,9938,1977 031A,USSR,27-Apr-77,KYMSC,23-Mar-80,94.4,464,515,50.6
COSMOS  907,9944,1977 033A,USSR,5-May-77,PLMSC,16-May-77,89.9,181,364,62.8
COSMOS  908,10007,1977 035A,USSR,17-May-77,TYMSC,31-May-77,89.1,174,288,51.8
COSMOS  909,10010,1977 036A,USSR,19-May-77,PLMSC,Earth orbit,117.0,984,2108,65.9
COSMOS  910,10014,1977 037A,USSR,23-May-77,TYMSC,23-May-77,91.0,149,506,65.1
COSMOS  911,10019,1977 039A,USSR,25-May-77,PLMSC,Earth orbit,104.7,962,997,82.9
COSMOS  912,10021,1977 040A,USSR,26-May-77,PLMSC,8-Jun-77,88.9,217,225,81.3
COSMOS  913,10028,1977 042A,USSR,30-May-77,PLMSC,29-Dec-79,94.5,474,520,74.0
COSMOS  914,10030,1977 043A,USSR,31-May-77,TYMSC,13-Jun-77,89.4,202,284,65.0
COSMOS  915,10038,1977 045A,USSR,8-Jun-77,PLMSC,21-Jun-77,89.1,173,289,62.8
COSMOS  916,10040,1977 046A,USSR,10-Jun-77,PLMSC,21-Jun-77,90.1,255,304,62.7
COSMOS  917,10059,1977 047A,USSR,16-Jun-77,PLMSC,Earth orbit,717.5,4196,36143,67.6
COSMOS  918,10065,1977 050A,USSR,17-Jun-77,TYMSC,18-Jun-77,87.7,125,197,65.1
COSMOS  919,10070,1977 051A,USSR,18-Jun-77,PLMSC,28-Aug-78,95.6,269,822,71.0
COSMOS  920,10086,1977 052A,USSR,22-Jun-77,TYMSC,5-Jul-77,89.7,173,342,65.0
COSMOS  921,10095,1977 055A,USSR,24-Jun-77,PLMSC,Earth orbit,97.1,587,651,75.8
COSMOS  922,10115,1977 058A,USSR,30-Jun-77,PLMSC,13-Jul-77,89.5,221,283,62.8
COSMOS  923,10120,1977 059A,USSR,1-Jul-77,PLMSC,Earth orbit,100.7,781,800,74.0
COSMOS  924,10129,1977 060A,USSR,4-Jul-77,PLMSC,10-Feb-81,95.2,513,552,74.0
COSMOS  925,10134,1977 061A,USSR,7-Jul-77,PLMSC,29-Apr-93,90.0,269,275,81.2
COSMOS  926,10137,1977 062A,USSR,8-Jul-77,PLMSC,Earth orbit,104.9,966,1015,82.9
COSMOS  927,10139,1977 063A,USSR,12-Jul-77,PLMSC,25-Jul-77,89.7,153,361,72.9
COSMOS  928,10141,1977 064A,USSR,13-Jul-77,PLMSC,Earth orbit,104.6,946,1004,83.0
COSMOS  929,10146,1977 066A,USSR,17-Jul-77,TYMSC,2-Feb-78,89.4,226,260,51.6
COSMOS  930,10149,1977 067A,USSR,19-Jul-77,PLMSC,12-May-80,94.6,482,515,74.0
COSMOS  931,10150,1977 068A,USSR,20-Jul-77,PLMSC,Earth orbit,717.1,3770,36549,66.5
COSMOS  932,10153,1977 069A,USSR,20-Jul-77,TYMSC,2-Aug-77,89.6,150,358,65.0
COSMOS  933,10157,1977 070A,USSR,22-Jul-77,PLMSC,1-Nov-78,92.5,369,431,65.8
COSMOS  934,10164,1977 072A,USSR,27-Jul-77,PLMSC,9-Aug-77,89.4,231,255,62.8
COSMOS  935,10168,1977 073A,USSR,29-Jul-77,PLMSC,11-Aug-77,89.2,217,251,81.3
COSMOS  936,10172,1977 074A,USSR,3-Aug-77,PLMSC,22-Aug-77,90.6,219,396,62.8
COSMOS  937,10278,1977 077A,USSR,24-Aug-77,TYMSC,19-Oct-78,93.3,424,444,65.0
COSMOS  938,10281,1977 078A,USSR,24-Aug-77,PLMSC,6-Sep-77,89.7,181,340,62.8
COSMOS  939,10282,1977 079A,USSR,24-Aug-77,PLMSC,Earth orbit,114.8,1430,1460,74.0
COSMOS  940,10286,1977 079B,USSR,24-Aug-77,PLMSC,Earth orbit,114.4,1391,1460,74.0
COSMOS  941,10287,1977 079C,USSR,24-Aug-77,PLMSC,Earth orbit,114.6,1411,1460,74.0
COSMOS  942,10288,1977 079D,USSR,24-Aug-77,PLMSC,Earth orbit,115.9,1461,1529,74.0
COSMOS  943,10289,1977 079E,USSR,24-Aug-77,PLMSC,Earth orbit,115.0,1448,1459,74.0
COSMOS  944,10290,1977 079F,USSR,24-Aug-77,PLMSC,Earth orbit,115.2,1459,1468,74.0
COSMOS  945,10291,1977 079G,USSR,24-Aug-77,PLMSC,Earth orbit,115.4,1460,1488,74.0
COSMOS  946,10292,1977 079H,USSR,24-Aug-77,PLMSC,Earth orbit,115.6,1460,1507,74.0
COSMOS  947,10299,1977 081A,USSR,27-Aug-77,PLMSC,9-Sep-77,89.8,203,321,72.9
COSMOS  948,10319,1977 083A,USSR,2-Sep-77,PLMSC,15-Sep-77,89.0,217,235,81.4
COSMOS  949,10326,1977 085A,USSR,6-Sep-77,PLMSC,6-Oct-77,89.5,177,325,62.8
COSMOS  950,10351,1977 086A,USSR,13-Sep-77,PLMSC,27-Sep-77,89.4,205,282,62.8
COSMOS  951,10352,1977 087A,USSR,13-Sep-77,PLMSC,Earth orbit,104.8,959,1009,83.0
COSMOS  952,10358,1977 088A,USSR,16-Sep-77,TYMSC,Earth orbit,104.1,911,990,64.9
COSMOS  953,10359,1977 089A,USSR,16-Sep-77,PLMSC,29-Sep-77,89.6,180,330,62.8
COSMOS  954,10361,1977 090A,USSR,18-Sep-77,TYMSC,24-Jan-78,89.7,251,265,65.0
COSMOS  955,10362,1977 091A,USSR,20-Sep-77,PLMSC,Earth orbit,94.6,493,501,81.2
COSMOS  956,10375,1977 095A,USSR,24-Sep-77,PLMSC,27-Jun-82,96.8,355,864,75.8
COSMOS  957,10385,1977 098A,USSR,30-Sep-77,TYMSC,13-Oct-77,89.8,171,361,65.0
COSMOS  958,10403,1977 100A,USSR,11-Oct-77,PLMSC,24-Oct-77,90.6,257,351,62.8
COSMOS  959,10419,1977 101A,USSR,21-Oct-77,PLMSC,30-Nov-77,94.6,146,850,65.8
COSMOS  960,10430,1977 103A,USSR,25-Oct-77,PLMSC,22-Oct-80,95.1,502,546,74.0
COSMOS  961,10434,1977 104A,USSR,26-Oct-77,TYMSC,26-Oct-77,101.8,269,1421,66.4
COSMOS  962,10459,1977 107A,USSR,28-Oct-77,PLMSC,Earth orbit,104.7,959,1004,83.0
COSMOS  963,10491,1977 109A,USSR,24-Nov-77,PLMSC,Earth orbit,109.2,1176,1204,82.9
COSMOS  964,10498,1977 110A,USSR,4-Dec-77,PLMSC,17-Dec-77,89.9,171,362,72.9
COSMOS  965,10501,1977 111A,USSR,8-Dec-77,PLMSC,16-Dec-79,94.4,465,516,74.0
COSMOS  966,10510,1977 115A,USSR,12-Dec-77,TYMSC,24-Dec-77,89.5,204,296,65.0
COSMOS  967,10512,1977 116A,USSR,13-Dec-77,PLMSC,Earth orbit,104.7,960,1001,65.8
COSMOS  968,10520,1977 119A,USSR,16-Dec-77,PLMSC,Earth orbit,100.4,765,791,74.0
COSMOS  969,10527,1977 120A,USSR,20-Dec-77,PLMSC,3-Jan-78,89.5,180,317,62.8
COSMOS  970,10531,1977 121A,USSR,21-Dec-77,TYMSC,Earth orbit,105.9,928,1142,65.9
COSMOS  971,10536,1977 122A,USSR,23-Dec-77,PLMSC,Earth orbit,104.9,972,1002,82.9
COSMOS  972,10539,1977 123A,USSR,27-Dec-77,PLMSC,Earth orbit,103.7,710,1157,75.8
COSMOS  973,10540,1977 124A,USSR,27-Dec-77,TYMSC,9-Jan-78,89.8,203,325,71.5
COSMOS  974,10554,1978 001A,USSR,6-Jan-78,PLMSC,19-Jan-78,89.6,178,334,62.8
COSMOS  975,10561,1978 004A,USSR,10-Jan-78,PLMSC,Earth orbit,95.0,513,522,81.2
COSMOS  976,10581,1978 005A,USSR,10-Jan-78,PLMSC,Earth orbit,115.0,1453,1462,74.0
COSMOS  977,10584,1978 005B,USSR,10-Jan-78,PLMSC,Earth orbit,114.4,1397,1462,74.0
COSMOS  978,10585,1978 005C,USSR,10-Jan-78,PLMSC,Earth orbit,114.6,1416,1462,74.0
COSMOS  979,10586,1978 005D,USSR,10-Jan-78,PLMSC,Earth orbit,114.8,1434,1462,74.0
COSMOS  980,10587,1978 005E,USSR,10-Jan-78,PLMSC,Earth orbit,115.3,1460,1474,74.0
COSMOS  981,10588,1978 005F,USSR,10-Jan-78,PLMSC,Earth orbit,115.5,1461,1494,74.0
COSMOS  982,10589,1978 005G,USSR,10-Jan-78,PLMSC,Earth orbit,115.7,1460,1514,74.0
COSMOS  983,10590,1978 005H,USSR,10-Jan-78,PLMSC,Earth orbit,116.0,1461,1536,74.0
COSMOS  984,10592,1978 006A,USSR,13-Jan-78,PLMSC,26-Jan-78,89.5,206,291,62.8
COSMOS  985,10599,1978 007A,USSR,17-Jan-78,PLMSC,Earth orbit,104.6,937,1013,82.9
COSMOS  986,10607,1978 010A,USSR,24-Jan-78,TYMSC,7-Feb-78,89.4,172,318,65.0
COSMOS  987,10639,1978 013A,USSR,31-Jan-78,PLMSC,14-Feb-78,89.6,189,322,62.8
COSMOS  988,10666,1978 015A,USSR,8-Feb-78,PLMSC,20-Feb-78,89.9,201,335,72.8
COSMOS  989,10672,1978 017A,USSR,14-Feb-78,TYMSC,28-Feb-78,89.4,169,318,65.1
COSMOS  990,10676,1978 019A,USSR,17-Feb-78,PLMSC,Earth orbit,100.4,764,791,74.0
COSMOS  991,10692,1978 022A,USSR,28-Feb-78,PLMSC,Earth orbit,104.6,949,1003,83.0
COSMOS  992,10699,1978 025A,USSR,4-Mar-78,TYMSC,17-Mar-78,89.8,203,323,71.3
COSMOS  993,10725,1978 027A,USSR,10-Mar-78,PLMSC,23-Mar-78,89.6,190,325,72.8
COSMOS  994,10731,1978 028A,USSR,15-Mar-78,PLMSC,Earth orbit,104.9,969,1005,82.9
COSMOS  995,10735,1978 030A,USSR,17-Mar-78,PLMSC,30-Mar-78,88.8,209,227,81.3
COSMOS  996,10744,1978 031A,USSR,28-Mar-78,PLMSC,Earth orbit,104.6,947,1004,82.9
COSMOS  997,10770,1978 032A,USSR,30-Mar-78,TYMSC,30-Mar-78
COSMOS  998,10771,1978 032B,USSR,30-Mar-78,TYMSC,30-Mar-78
COSMOS  999,10773,1978 033A,USSR,30-Mar-78,TYMSC,12-Apr-78,89.8,174,352,71.4
COSMOS 1000,10776,1978 034A,USSR,31-Mar-78,PLMSC,Earth orbit,104.7,953,1006,82.9
COSMOS 1001,10783,1978 036A,USSR,4-Apr-78,TYMSC,15-Apr-78,88.7,199,228,51.6
COSMOS 1002,10785,1978 037A,USSR,6-Apr-78,TYMSC,19-Apr-78,89.4,205,283,65.1
COSMOS 1003,10811,1978 040A,USSR,20-Apr-78,PLMSC,4-May-78,89.5,178,328,62.8
COSMOS 1004,10846,1978 043A,USSR,5-May-78,PLMSC,18-May-78,89.4,205,290,62.8
COSMOS 1005,10860,1978 045A,USSR,12-May-78,PLMSC,Earth orbit,94.4,485,494,81.2
COSMOS 1006,10862,1978 046A,USSR,12-May-78,PLMSC,14-Mar-79,92.4,384,407,65.8
COSMOS 1007,10895,1978 048A,USSR,16-May-78,PLMSC,29-May-78,89.7,168,350,72.8
COSMOS 1008,10898,1978 049A,USSR,17-May-78,PLMSC,8-Jan-81,95.1,499,549,74.0
COSMOS 1009,10904,1978 050A,USSR,19-May-78,TYMSC,19-May-78,108.6,966,1364,65.9
COSMOS 1010,10915,1978 052A,USSR,23-May-78,PLMSC,5-Jun-78,89.0,217,230,81.4
COSMOS 1011,10917,1978 053A,USSR,23-May-78,PLMSC,Earth orbit,104.7,954,1006,82.9
COSMOS 1012,10919,1978 054A,USSR,25-May-78,PLMSC,7-Jun-78,89.2,202,265,62.8
COSMOS 1013,10930,1978 056A,USSR,7-Jun-78,PLMSC,Earth orbit,116.3,1476,1552,74.0
COSMOS 1014,10931,1978 056B,USSR,7-Jun-78,PLMSC,Earth orbit,116.0,1477,1528,74.0
COSMOS 1015,10932,1978 056C,USSR,7-Jun-78,PLMSC,Earth orbit,115.8,1472,1514,74.0
COSMOS 1016,10933,1978 056D,USSR,7-Jun-78,PLMSC,Earth orbit,115.6,1469,1495,74.0
COSMOS 1017,10934,1978 056E,USSR,7-Jun-78,PLMSC,Earth orbit,115.4,1455,1490,74.0
COSMOS 1018,10935,1978 056F,USSR,7-Jun-78,PLMSC,Earth orbit,115.2,1439,1486,74.0
COSMOS 1019,10936,1978 056G,USSR,7-Jun-78,PLMSC,Earth orbit,115.0,1421,1486,74.0
COSMOS 1020,10937,1978 056H,USSR,7-Jun-78,PLMSC,Earth orbit,114.7,1405,1482,74.0
COSMOS 1021,10939,1978 057A,USSR,10-Jun-78,TYMSC,23-Jun-78,89.4,173,313,65.0
COSMOS 1022,10944,1978 059A,USSR,12-Jun-78,PLMSC,25-Jun-78,89.7,171,344,72.8
COSMOS 1023,10961,1978 063A,USSR,21-Jun-78,PLMSC,Earth orbit,100.4,766,786,74.1
COSMOS 1024,10970,1978 066A,USSR,28-Jun-78,PLMSC,Earth orbit,717.7,4984,35365,67.3
COSMOS 1025,10973,1978 067A,USSR,28-Jun-78,PLMSC,Earth orbit,95.8,551,567,82.5
COSMOS 1026,10977,1978 069A,USSR,2-Jul-78,TYMSC,6-Jul-78,89.0,212,247,51.7
COSMOS 1027,10991,1978 074A,USSR,27-Jul-78,PLMSC,Earth orbit,104.6,955,997,82.9
COSMOS 1028,10995,1978 076A,USSR,5-Aug-78,PLMSC,4-Sep-78,88.7,170,247,67.1
COSMOS 1029,11012,1978 082A,USSR,29-Aug-78,PLMSC,8-Sep-78,89.6,194,316,62.8
COSMOS 1030,11015,1978 083A,USSR,6-Sep-78,PLMSC,Earth orbit,717.0,4131,36185,66.2
COSMOS 1031,11022,1978 085A,USSR,9-Sep-78,PLMSC,22-Sep-78,89.6,182,329,62.8
COSMOS 1032,11029,1978 088A,USSR,19-Sep-78,PLMSC,2-Oct-78,88.9,215,226,81.3
COSMOS 1033,11039,1978 089A,USSR,3-Oct-78,PLMSC,16-Oct-78,89.0,212,231,81.4
COSMOS 1034,11042,1978 091A,USSR,4-Oct-78,PLMSC,Earth orbit,114.9,1420,1479,74.0
COSMOS 1035,11044,1978 091B,USSR,4-Oct-78,PLMSC,Earth orbit,114.6,1400,1478,74.0
COSMOS 1036,11045,1978 091C,USSR,4-Oct-78,PLMSC,Earth orbit,115.1,1440,1478,74.0
COSMOS 1037,11046,1978 091D,USSR,4-Oct-78,PLMSC,Earth orbit,115.3,1460,1479,74.0
COSMOS 1038,11047,1978 091E,USSR,4-Oct-78,PLMSC,Earth orbit,115.5,1474,1485,74.0
COSMOS 1039,11048,1978 091F,USSR,4-Oct-78,PLMSC,Earth orbit,116.3,1476,1549,74.0
COSMOS 1040,11049,1978 091G,USSR,4-Oct-78,PLMSC,Earth orbit,116.0,1476,1525,74.0
COSMOS 1041,11050,1978 091H,USSR,4-Oct-78,PLMSC,Earth orbit,115.8,1474,1507,74.0
COSMOS 1042,11052,1978 092A,USSR,6-Oct-78,PLMSC,19-Oct-78,89.3,179,299,62.8
COSMOS 1043,11055,1978 094A,USSR,10-Oct-78,PLMSC,Earth orbit,93.2,425,433,81.2
COSMOS 1044,11065,1978 097A,USSR,17-Oct-78,PLMSC,30-Oct-78,89.5,203,295,62.8
COSMOS 1045,11084,1978 100A,USSR,26-Oct-78,PLMSC,Earth orbit,120.3,1683,1702,82.5
COSMOS 1046,11098,1978 102A,USSR,1-Nov-78,PLMSC,13-Nov-78,89.8,202,324,72.9
COSMOS 1047,11108,1978 104A,USSR,15-Nov-78,PLMSC,28-Nov-78,89.8,171,354,72.9
COSMOS 1048,11111,1978 105A,USSR,16-Nov-78,PLMSC,Earth orbit,100.5,769,797,74.0
COSMOS 1049,11118,1978 107A,USSR,21-Nov-78,PLMSC,4-Dec-78,89.6,169,338,72.9
COSMOS 1050,11121,1978 108A,USSR,28-Nov-78,PLMSC,12-Dec-78,89.8,194,341,62.8
COSMOS 1051,11128,1978 109A,USSR,5-Dec-78,PLMSC,Earth orbit,114.6,1392,1483,74.0
COSMOS 1052,11129,1978 109B,USSR,5-Dec-78,PLMSC,Earth orbit,114.8,1409,1485,74.0
COSMOS 1053,11130,1978 109C,USSR,5-Dec-78,PLMSC,Earth orbit,115.0,1427,1485,74.0
COSMOS 1054,11131,1978 109D,USSR,5-Dec-78,PLMSC,Earth orbit,115.2,1444,1487,74.0
COSMOS 1055,11132,1978 109E,USSR,5-Dec-78,PLMSC,Earth orbit,115.4,1461,1489,74.0
COSMOS 1056,11133,1978 109F,USSR,5-Dec-78,PLMSC,Earth orbit,115.7,1469,1502,74.0
COSMOS 1057,11134,1978 109G,USSR,5-Dec-78,PLMSC,Earth orbit,115.9,1479,1513,74.0
COSMOS 1058,11135,1978 109H,USSR,5-Dec-78,PLMSC,Earth orbit,116.1,1478,1535,74.0
COSMOS 1059,11137,1978 110A,USSR,7-Dec-78,PLMSC,20-Dec-78,89.7,180,338,62.8
COSMOS 1060,11139,1978 111A,USSR,8-Dec-78,TYMSC,21-Dec-78,89.5,216,291,65.0
COSMOS 1061,11148,1978 114A,USSR,14-Dec-78,PLMSC,27-Dec-78,89.6,203,310,62.8
COSMOS 1062,11150,1978 115A,USSR,15-Dec-78,PLMSC,20-Apr-81,95.1,504,549,74.0
COSMOS 1063,11155,1978 117A,USSR,19-Dec-78,PLMSC,Earth orbit,95.1,518,524,81.2
COSMOS 1064,11161,1978 119A,USSR,20-Dec-78,PLMSC,12-Nov-89,92.6,333,467,82.9
COSMOS 1065,11163,1978 120A,USSR,22-Dec-78,KYMSC,1-Aug-79,93.5,348,544,50.6
COSMOS 1066,11165,1978 121A,USSR,23-Dec-78,PLMSC,Earth orbit,102.0,819,890,81.2
COSMOS 1067,11168,1978 122A,USSR,26-Dec-78,PLMSC,Earth orbit,109.0,1154,1210,83.0
COSMOS 1068,11169,1978 123A,USSR,26-Dec-78,PLMSC,8-Jan-79,90.4,191,389,62.8
COSMOS 1069,11173,1978 124A,USSR,28-Dec-78,PLMSC,10-Jan-79,89.9,254,289,62.9
COSMOS 1070,11229,1979 001A,USSR,11-Jan-79,PLMSC,20-Jan-79,89.5,205,293,62.8
COSMOS 1071,11233,1979 002A,USSR,13-Jan-79,PLMSC,26-Jan-79,89.7,179,339,62.8
COSMOS 1072,11238,1979 003A,USSR,16-Jan-79,PLMSC,Earth orbit,104.8,957,1010,82.9
COSMOS 1073,11255,1979 006A,USSR,30-Jan-79,PLMSC,12-Feb-79,89.6,182,328,62.8
COSMOS 1074,11259,1979 008A,USSR,31-Jan-79,TYMSC,1-Apr-79,88.8,195,238,51.6
COSMOS 1075,11262,1979 010A,USSR,8-Feb-79,PLMSC,19-Oct-81,94.4,473,516,65.8
