Name,Right ascension,Declination,Flux density,Error class,Galactic lat,Galactic long,4C number,(Label),(Type)
3C220.2,9h 30.559m,35d 59.796m,8.6,a,46.8,188.2,4C+36.15,3C220.2,H16
3C222,9h 36.532m,4d 22.523m,11.8,a,38.3,230.1,4C+04.32,3C222,H16
3C223,9h 39.872m,35d 52.391m,14.2,a,48.7,188.4,4C+36.16,3C223,H16
3C223.1,9h 41.394m,39d 45.329m,8.7,a,48.9,182.5,4C+39.28,3C223.1,H16
3C225,9h 42.222m,13d 47.285m,19.6,a,44,220,4C+14.32,3C225,H16
3C226,9h 44.271m,9d 46.199m,15.7,a,42.7,225.2,4C+10.27,3C226,H16
3C227,16h 2.512m,1d 56.729m,17.8,a,37.8,12.5,4C+02.41,3C227,H16
3C227,9h 47.776m,7d 25.056m,16.5,a,42.3,228.6,4C+07.29,3C227,H16
3C228,9h 50.182m,14d 18.963m,16.1,a,46,220.4,4C+14.34,3C228,H16
3C230,9h 51.973m,0d 3.112m,19.2,a,39.1,237.6,4C+00.32,3C230,H16
3C231,9h 55.807m,69d 40.774m,14,a,40.6,141.4,4C+69.12,3C231,H16
3C234,10h 1.820m,28d 45.525m,26.1,a,52.7,200.2,4C+29.35,3C234,H16
3C236,10h 6.031m,34d 52.376m,7.2,a,54,190.1,4C+35.22,3C236,H16
3C237,10h 8.001m,7d 31.300m,21.6,a,46.6,232.1,4C+07.30,3C237,H16
3C238,10h 10.999m,6d 24.198m,16.3,a,46.7,234,4C+06.38,3C238,H16
3C239,10h 11.756m,46d 28.183m,13,a,53.2,170.5,4C+46.20,3C239,H16
3C241,10h 21.900m,21d 58.850m,11.1,a,55.7,213.2,4C+22.28,3C241,H16
3C244.1,10h 33.575m,58d 13.521m,20.2,a,50.7,151,4C+58.21,3C244.1,H16
3C245,10h 42.746m,12d 1.273m,12.5,a,56.3,233.2,4C+12.37,3C245,H16
3C247,10h 58.978m,43d 0.919m,11.4,a,62.3,170.7,4C+43.20,3C247,H16
3C249,11h 2.061m,-1d 14.146m,15.4,a,51.3,255.7,4C-00.42,3C249,H16
3C249.1,11h 4.174m,76d 59.831m,10.4,a,38.5,130.4,4C+77.09,3C249.1,H16
3C250,11h 8.870m,24d 57.738m,7.9,a,66.9,212.5,4C+25.34,3C250,H16
3C252,11h 11.538m,35d 38.696m,10.8,a,67.1,184.9,4C+35.25,3C252,H16
3C254,11h 14.635m,40d 36.649m,21.7,a,65.9,172.6,4C+40.28,3C254,H16
3C255,11h 19.415m,-3d 2.423m,13.3,a,52.5,263,4C-02.47,3C255,H16
3C256,11h 20.719m,23d 27.563m,9.2,b,69.2,218,4C+23.27,3C256,H16
3C257*,11h 23.147m,5d 27.531m,9.7,b,59.8,254.8,4C+05.49,3C257*,H16
3C257*,11h 24.641m,5d 0.513m,6.4,b,59.7,256,4C+05.50,3C257*,H16
3C258*,11h 24.721m,19d 14.514m,3.4,a,68.6,229.9,4C+19.38,3C258*,H16
3C263,11h 39.978m,65d 47.377m,13.7,a,49.7,134.2,4C+66.13,3C263,H16
3C263.1,11h 43.403m,22d 6.353m,18.3,a*,73.8,227.2,4C+22.30,3C263.1,H16
3C264,11h 45.109m,19d 36.343m,14.7,a,73,235.7,4C+19.40,3C264,H16
3C265,11h 45.493m,31d 33.342m,18.3,a,75,191.8,4C+31.37,3C265,H16
3C266,11h 45.717m,49d 45.343m,10.4,a,64.1,147.7,4C+50.33,3C266,H16
3C267,11h 49.933m,12d 43.322m,11.5,a,69.6,254.9,4C+13.45,3C267,H16
3C268.1,12h 0.372m,73d 0.305m,20.7,a,43.6,128,4C+73.11,3C268.1,H16
3C268.2,12h 0.993m,31d 31.303m,6.9,a,78.2,188.1,4C+31.39,3C268.2,H16
3C268.3,12h 6.400m,64d 13.309m,10.3,a,52.2,130.9,4C+64.14,3C268.3,H16
3C268.4,12h 9.242m,43d 38.314m,9.5,a,71.4,147.5,4C+43.23,3C268.4,H16
3C270,12h 19.178m,5d 49.351m,12,a,67.4,281.7,4C+06.44,3C270,H16
3C270.1,12h 20.578m,33d 39.362m,12.7,a,80.7,166.5,4C+33.29,3C270.1,H16
