Name,Right ascension,Declination,Flux density,Error class,Galactic lat,Galactic long,4C number,(Label),(Type)
3C343,16h 34.565m,62d 45.902m,12.4,a,39.4,93.6,4C+62.26,3C343,H16
3C343.1,16h 38.456m,62d 35.167m,11.5,a,39,93.2,4C+62.27,3C343.1,H16
3C345,16h 42.983m,39d 47.437m,11.9,a,40.9,63.4,4C+39.48,3C345,H16
3C346,16h 43.804m,17d 14.474m,11.8,a,35.8,35.3,4C+17.70,3C346,H16
3C348*,16h 51.141m,4d 57.972m,350,,28.9,23,4C+05.66,3C348*,H16
3C349,16h 59.494m,47d 2.595m,12.7,a,38.2,73,4C+47.45,3C349,H16
3C351,17h 4.703m,60d 42.989m,13.5,a,36.4,90.1,4C+60.24,3C351,H16
3C352,17h 10.727m,46d 1.388m,12.2,a,36.2,71.8,4C+46.34,3C352,H16
3C353*,17h 20.516m,0d 59.955m,220,,19.6,21.2,4C-00.67,3C353*,H16
3C356,17h 24.338m,50d 57.370m,11.3,a,34.2,77.9,4C+51.36,3C356,H16
3C357,17h 28.335m,31d 45.633m,8.2,b,30.6,55.5,4C+31.47,3C357,H16
3C368,18h 5.108m,11d 0.287m,14,a,15.2,37.7,4C+11.54,3C368,H16
3C371*,18h 6.804m,69d 58.515m,5.3,b,29.2,100.3,4C+69.24,3C371*,H16
3C371*,18h 6.763m,70d 39.516m,6.9,a,29.2,101.1,4C+70.20,3C371*,H16
3C379.1,18h 24.622m,74d 21.842m,7.7,a,27.8,105.3,4C+74.23,3C379.1,H16
3C380,18h 29.538m,48d 44.100m,63.9,a,23.5,77.2,4C+48.46,3C380,H16
3C381,18h 33.766m,47d 25.403m,15.2,a,22.5,76.1,4C+47.49,3C381,H16
3C382,18h 35.077m,32d 40.480m,15.2,b,17.4,61.3,4C+32.55,3C382,H16
3C386,18h 38.420m,17d 11.707m,22,a,10.6,47,4C+17.81,3C386,H16
3C388,18h 44.034m,45d 32.138m,22.5,a,20.2,74.7,4C+45.39,3C388,H16
3C389,18h 46.437m,-3d 0.732m,18.1,a,-0.3,29.7,4C-03.70,3C389,H16
3C390,18h 45.622m,9d 51.218m,20.9,a,5.8,41.1,4C+09.62,3C390,H16
3C390.1,18h 44.556m,6d 42.140m,4.1,b,4.6,38.1,4C+06.65,3C390.1,H16
3C390.3,18h 42.227m,79d 45.184m,32.6,a,27.1,111.4,4C+79.18,3C390.3,H16
3C391,18h 49.382m,0d 55.521m,17.7,a,0,31.9,4C-00.72,3C391,H16
3C392,18h 55.433m,1d 18.911m,14.7,a,-0.3,34.6,4C+01.57,3C392,H16
3C392,18h 56.821m,1d 15.009m,14.1,a,-0.6,34.7,4C+01.58,3C392,H16
3C394,18h 59.379m,12d 57.198m,15.9,a,4.1,45.4,4C+12.67,3C394,H16
3C396,19h 4.050m,5d 25.521m,16.9,a,-0.3,39.2,4C+05.73,3C396,H16
3C397,19h 7.546m,7d 8.767m,23.9,a,-0.3,41.1,4C+07.50,3C397,H16
3C398,19h 11.125m,9d 5.017m,31.6,a,-0.2,43.3,4C+09.63,3C398,H16
3C399.1,19h 15.947m,30d 18.367m,10.7,a,8.5,62.7,4C+30.35,3C399.1,H16
3C400.1,19h 24.552m,35d 21.960m,10.3,a,9.2,68.1,4C+35.46,3C400.1,H16
3C401,19h 40.392m,60d 41.058m,21.6,a,17.8,92.8,4C+60.29,3C401,H16
3C402,19h 41.721m,50d 36.127m,9,a,13.3,83.4,4C+50.49,3C402,H16
3C403,19h 52.248m,2d 28.776m,17.8,a,-12.3,42.2,4C+02.50,3C403,H16
3C403.1,19h 52.514m,-1d 16.209m,3.3,b,-14.2,38.9,4C-01.51,3C403.1,H16
3C405*,19h 59.486m,40d 44.262m,8700,,5.8,76.2,4C+40.40,3C405*,H16
