;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC3992,M109,Ursa Major,Spiral galaxy,11h 57.6m,53° 23',9.8,6.2x3.5,,SBb -barred spiral galaxy
NGC4026,,Ursa Major,Elliptical galaxy,11h 59.4m,50° 58',10.7,3.6x0.7,,E8 - edge-on/lens-shaped
NGC4030,,Virgo,Spiral galaxy,12h 0.4m,-1° 6',11.2,3.1x2.2,,Sc - fine face-on spiral
NGC4036,,Ursa Major,Elliptical galaxy,12h 1.4m,61° 54',10.6,2.4x0.9,,E6 - spindle-shaped
NGC4038,,Corvus,Spiral galaxy,12h 1.9m,-18° 52',10.7,2.5x2.5,*,Sc - Ringtail Galaxy
NGC4041,,Ursa Major,Spiral galaxy,12h 2.2m,62° 8',11.1,2.4x1.8,,Sc - NGC 4036 in field
NGC4051,,Ursa Major,Spiral galaxy,12h 3.2m,44° 32',10.3,4.2x3.0,,Sc - thick spiral arms
NGC4088,,Ursa Major,Spiral galaxy,12h 5.6m,50° 33',10.5,4.5x1.4,,Sc - NGC 4085 in field
NGC4105,,Hydra,Elliptical galaxy,12h 6.7m,-29° 46',12,1.5x1.5,,E2 -interacting with 4106
NGC4111,,Ursa Major,Elliptical galaxy,12h 7.1m,43° 4',10.8,3.3x0.6,,E7/S0-lenticulr or edgeon
NGC4125,,Draco,Elliptical galaxy,12h 8.1m,65° 11',11.2,2.2x1.1,,E5p
NGC4143,,Canes Venatici,Elliptical galaxy,12h 9.6m,42° 32',11,1.4x0.9,,E4
NGC4192,M 98,Coma Berenices,Spiral galaxy,12h 13.8m,14° 54',10.1,8.4x1.9,*,"Sb-knotty, bright spindle"
NGC4214,,Canes Venatici,Irregular galaxy,12h 15.6m,36° 20',9.7,6.6x5.8,,Ir -possible early barred
NGC4216,,Virgo,Spiral galaxy,12h 15.9m,13° 9',10,7.4x0.9,*,"Sb - long streak, edge-on"
NGC4236,,Draco,Spiral galaxy,12h 16.7m,69° 28',9.7,22x5,,SB -large loose structure
NGC4244,,Canes Venatici,Spiral galaxy,12h 17.5m,37° 49',10.2,14.5x1.0,*,S - narrow streak/edge-on
NGC4251,,Coma Berenices,Spiral galaxy,12h 18.1m,28° 10',10.2,2.3x0.8,,Sa - lens shape
NGC4254,M 99,Coma Berenices,Spiral galaxy,12h 18.8m,14° 25',9.8,4.6x3.9,!,Sc
NGC4258,M106,Canes Venatici,Spiral galaxy,12h 19m,47° 18',8.3,18.2x7.0,!,Sbp
NGC4261,,Virgo,Elliptical galaxy,12h 19.4m,5° 49',10.3,2.0x1.7,,E2
NGC4274,,Coma Berenices,Spiral galaxy,12h 19.8m,29° 37',10.8,6.7x1.3,*,Sb/Saturn-like inner ring
NGC4278,,Coma Berenices,Elliptical galaxy,12h 20.1m,29° 17',10.3,1.4x1.3,,E1 - NGC 4283 in field
NGC4303,M 61,Virgo,Spiral galaxy,12h 21.9m,4° 28',9.7,5.7x5.5,*,Sc - large face-on spiral
NGC4314,,Coma Berenices,Spiral galaxy,12h 22.6m,29° 53',10.8,3.1x2.9,,SBa - faint outer arms
NGC4321,M100,Coma Berenices,Spiral galaxy,12h 22.9m,15° 49',9.4,5.3x4.5,!,Sc - fine spiral
NGC4361,,Corvus,Planetary nebula,12h 24.5m,-18° 48',10.8,81,,central star mag: 12.8
NGC4365,,Virgo,Elliptical galaxy,12h 24.5m,7° 19',11,2.0x1.3,,E2
NGC4374,M 84,Virgo,Elliptical galaxy,12h 25.1m,12° 53',9.3,2.0x1.8,*,E1 - center Virgo Cluster
NGC4382,M 85,Coma Berenices,Elliptical galaxy,12h 25.4m,18° 11',9.3,2.1x1.7,*,Ep
NGC4395,,Canes Venatici,Spiral galaxy,12h 25.8m,33° 33',10.2,10x8,,"S - 3-branch, loose SG"
NGC4406,M 86,Virgo,Elliptical galaxy,12h 26.2m,12° 57',9.2,3x2,*,E3 - center Virgo Cluster
NGC4414,,Coma Berenices,Spiral galaxy,12h 26.4m,31° 13',10.3,3.2x1.5,,Sc
NGC4429,,Virgo,Spiral galaxy,12h 27.4m,11° 7',10.2,3.3x1.0,,S0 - oval with outer ring
NGC4435,,Virgo,Elliptical galaxy,12h 27.7m,13° 5',10.9,1.3x0.8,,E4 - pair with NGC 4438
NGC4438,,Virgo,Spiral galaxy,12h 27.8m,13° 1',10.1,4.0x1.5,,Sap-long angular filamnts
NGC4449,,Canes Venatici,Irregular galaxy,12h 28.2m,44° 6',9.4,4.1x3.4,*,Ir - rectangular shape
NGC4450,,Coma Berenices,Spiral galaxy,12h 28.5m,17° 5',10.1,3.0x2.5,,Sb
NGC4459,,Coma Berenices,Elliptical galaxy,12h 29m,13° 59',10.9,1.2x1.0,,E2 - internal dust ring
NGC4472,M 49,Virgo,Elliptical galaxy,12h 29.8m,8° 0',8.4,4.0x3.4,*,E4
NGC4473,,Coma Berenices,Elliptical galaxy,12h 29.8m,13° 26',10.2,1.6x0.9,,E4
NGC4477,,Coma Berenices,Spiral galaxy,12h 30m,13° 38',10.4,2.5x2.0,,S(B)a
NGC4486,M 87,Virgo,Elliptical galaxy,12h 30.8m,12° 24',8.6,3x3,*,E1 - X-ray & radio source
NGC4490,,Canes Venatici,Spiral galaxy,12h 30.6m,41° 38',9.8,5.6x2.1,,Sc - Cocoon Galaxy
NGC4494,,Coma Berenices,Elliptical galaxy,12h 31.4m,25° 47',9.9,1.3x1.2,,E1
NGC4501,M 88,Coma Berenices,Spiral galaxy,12h 32m,14° 25',9.5,5.5x2.4,*,Sb - multiple-arm spiral
NGC4526,,Virgo,Elliptical galaxy,12h 34m,7° 42',9.6,3.3x1.0,,"E7 - lenticular, edge-on"
NGC4535,,Virgo,Spiral galaxy,12h 34.3m,8° 12',9.8,6x4,,S(B)c - fine S-shaped SG
NGC4536,,Virgo,Spiral galaxy,12h 34.5m,2° 11',10.4,7x2,,Sc - highly tilted
NGC4546,,Virgo,Elliptical galaxy,12h 35.5m,-3° 48',10.3,1.8x0.8,,E6
NGC4548,M 91,Coma Berenices,Spiral galaxy,12h 35.4m,14° 30',10.2,3.7x3.2,*,SBb- barred spiral galaxy
NGC4552,M 89,Virgo,Elliptical galaxy,12h 35.7m,12° 33',9.8,2x2,*,"E0 - bright, round"
NGC4565,,Coma Berenices,Spiral galaxy,12h 36.3m,25° 59',9.6,14.4x1.2,!,Sb - superb edge-on
NGC4569,M 90,Virgo,Spiral galaxy,12h 36.8m,13° 10',9.5,7.0x2.5,*,Sb - well formed oval
NGC4579,M 58,Virgo,Spiral galaxy,12h 37.7m,11° 49',9.8,4.0x3.5,*,Sb - fine compact spiral
NGC4590,M 68,Hydra,Globular cluster,12h 39.5m,-26° 45',8.2,2.8,*,X
NGC4594,M104,Virgo,Spiral galaxy,12h 40m,-11° 37',8.3,7.0x1.5,!,Sb - Sombrero Galaxy
NGC4621,M 59,Virgo,Elliptical galaxy,12h 42m,11° 39',9.8,2.0x1.8,*,E3
NGC4631,,Canes Venatici,Spiral galaxy,12h 42.1m,32° 32',9.3,12.6x1.4,!,Sc - edge-on
NGC4636,,Virgo,Elliptical galaxy,12h 42.8m,2° 41',9.6,1.4x1.3,,E1
NGC4643,,Virgo,Spiral galaxy,12h 43.3m,1° 59',10.6,1.5x0.9,,SBa - projecting ansae
NGC4649,M 60,Virgo,Elliptical galaxy,12h 43.7m,11° 33',8.8,3.0x2.5,*,E1 - NGC 4647 in field
NGC4656,,Canes Venatici,Spiral galaxy,12h 44m,32° 10',10.4,19.5x2.0,*,Sc -interacting w/NGC4657
NGC4660,,Virgo,Elliptical galaxy,12h 44.5m,11° 11',11,1.3x0.6,,E5
NGC4666,,Virgo,Spiral galaxy,12h 45.1m,0° 28',10.8,3.8x0.8,,Sc - NGC 4668 in field
NGC4697,,Virgo,Elliptical galaxy,12h 48.6m,-5° 48',9.3,2.5x1.3,,E4
NGC4699,,Virgo,Spiral galaxy,12h 49m,-8° 40',9.6,3x2,,Sa
NGC4725,,Coma Berenices,Spiral galaxy,12h 50.4m,25° 30',9.2,10.0x5.5,*,SBb
NGC4736,M 94,Canes Venatici,Spiral galaxy,12h 50.9m,41° 7',8.2,5.0x3.5,*,Sbp
NGC4753,,Virgo,Irregular galaxy,12h 52.4m,-1° 12',9.9,2.8x2.0,,Pec
NGC4754,,Virgo,Spiral galaxy,12h 52.3m,11° 19',10.6,2.5x1.0,,SB0 - pair with NGC 4762
NGC4762,,Virgo,Spiral galaxy,12h 52.9m,11° 14',10.2,3.7x0.4,,"SB0- edge-on,thick streak"
NGC4775,,Virgo,Spiral galaxy,12h 53.8m,-6° 37',11.6,1.7x1.6,,Sc - compact face-on
NGC4781,,Virgo,Spiral galaxy,12h 54.4m,-10° 32',11.2,2.3x1.1,,Sc - coarse spiral
NGC4800,,Canes Venatici,Spiral galaxy,12h 54.6m,46° 32',11.1,1.2x1.0,,Sb
NGC4826,M 64,Coma Berenices,Spiral galaxy,12h 56.7m,21° 41',8.5,7.8x1.5,!,Sb - Black-Eye Galaxy
NGC4856,,Virgo,Spiral galaxy,12h 59.3m,-15° 2',10.4,2.5x0.7,,S(B)a
NGC4900,,Virgo,Spiral galaxy,13h 0.6m,2° 30',11.5,1.7x1.5,,Sc - compact spiral
NGC4945,,Centaurus,Spiral galaxy,13h 5.4m,-49° 28',9.2,11.5x2.0,*,SBc - edge-on
NGC4958,,Virgo,Elliptical galaxy,13h 5.8m,-8° 1',10.5,1.7x0.7,,E6 - edge-on lenticular
NGC4995,,Virgo,Spiral galaxy,13h 9.7m,-7° 50',11,2.2x1.5,,Sb - dense spiral
NGC5005,,Canes Venatici,Spiral galaxy,13h 10.9m,37° 3',9.8,4.4x1.7,*,Sb
NGC5024,M 53,Coma Berenices,Globular cluster,13h 12.9m,18° 10',7.7,3.3,*,V
NGC5033,,Canes Venatici,Spiral galaxy,13h 13.4m,36° 36',10.1,9.9x4.8,,Sb
NGC5044,,Virgo,Elliptical galaxy,13h 15.4m,-16° 23',11,0.9x0.9,,E0 - NGC 5037 in field
NGC5053,,Coma Berenices,Globular cluster,13h 16.4m,17° 42',9.8,3.5,,XI
NGC5055,M 63,Canes Venatici,Spiral galaxy,13h 15.8m,42° 2',8.6,10x5,*,Sb - Sunflower Nebula
NGC5068,,Virgo,Spiral galaxy,13h 18.9m,-21° 2',10.8,6.0x5.5,,SBc - coarse spiral
NGC5102,,Centaurus,Spiral galaxy,13h 22m,-36° 38',9.7,6.0x2.5,,S0
NGC5128,,Centaurus,Irregular galaxy,13h 25.5m,-43° 1',7,10x8,!!,S0/pec - Centaurus A
NGC5139,,Centaurus,Globular cluster,13h 26.8m,-47° 29',3.7,23,!!!,VIII - Omega Centauri
NGC5194,M 51,Canes Venatici,Spiral galaxy,13h 29.9m,47° 12',8.4,10.0x5.5,!!,Sc - Whirlpool Galaxy
NGC5195,,Canes Venatici,Irregular galaxy,13h 30m,47° 16',9.6,2.0x1.5,*,Pec - connected to M51
NGC5236,M 83,Hydra,Spiral galaxy,13h 37m,-29° 52',8.2,10x8,!,Sc
NGC5248,,Boötes,Spiral galaxy,13h 37.5m,8° 53',10.2,6.1x4.4,*,Sc
NGC5272,M  3,Canes Venatici,Globular cluster,13h 42.2m,28° 23',6.4,16,!!!,VI - superb object
NGC5322,,Ursa Major,Elliptical galaxy,13h 49.3m,60° 12',10,1.4x1.1,,E2
NGC5363,,Virgo,Elliptical galaxy,13h 56.1m,5° 15',10.2,1.7x1.5,,Ep - pair with NGC 5364
NGC5377,,Canes Venatici,Spiral galaxy,13h 56.3m,47° 14',11.2,3.0x0.6,,Sap - outer ring
NGC5427,,Virgo,Spiral galaxy,14h 3.4m,-6° 2',11.4,2.0x1.6,,"Sc - pair w/5426, face-on"
NGC5457,M101,Ursa Major,Spiral galaxy,14h 3.2m,54° 21',7.7,22x20,*,Sc-splendid large face-on
NGC5457,M102,Ursa Major,Spiral galaxy,14h 3.2m,54° 21',7.7,22x20,*,Sc - Same as M101
NGC5466,,Boötes,Globular cluster,14h 5.5m,28° 32',9.1,5,,XII
NGC5566,,Virgo,Spiral galaxy,14h 20.3m,3° 56',10.5,5.8x1.3,,Sb - 2 faint glx in field
NGC5634,,Virgo,Globular cluster,14h 29.6m,-5° 59',9.6,4,,IV - 10m star on E edge
NGC5694,,Hydra,Globular cluster,14h 39.6m,-26° 32',10.2,2,*,VII - one of most distant
NGC5746,,Virgo,Spiral galaxy,14h 44.9m,1° 57',10.6,6.2x0.8,,Sb - edge-on w/dust band
NGC5775,,Virgo,Spiral galaxy,14h 54m,3° 33',11.4,3.6x0.5,,Sb - edge-on
NGC5824,,Lupus,Globular cluster,15h 4m,-33° 4',9,1,,I
NGC5846,,Virgo,Elliptical galaxy,15h 6.5m,1° 36',10.2,0.9x0.9,,E0 - pair with NGC 5850
NGC5866,,Draco,Elliptical galaxy,15h 6.5m,55° 46',10,2.8x1.0,,"E6p - edge-on, dust band"
NGC5873,,Lupus,Planetary nebula,15h 12.8m,-38° 8',13.3,3,,central star mag: 13.6
NGC5897,,Libra,Globular cluster,15h 17.4m,-21° 1',8.5,7.3,*,XI
NGC5904,M  5,Serpens,Globular cluster,15h 18.6m,2° 5',5.8,17,!!,V - superb cluster
NGC5907,,Draco,Spiral galaxy,15h 15.9m,56° 19',10.4,11.0x0.6,*,"Sb - long, thin streak"
NGC5982,,Draco,Elliptical galaxy,15h 38.7m,59° 21',11.1,1.2x0.8,,E3p
NGC5986,,Lupus,Globular cluster,15h 46.1m,-37° 47',7.1,3.7,,VII
NGC6058,,Hercules,Planetary nebula,16h 4.4m,40° 41',12.3,25x20,,central star mag: 13.8
NGC6093,M 80,Scorpius,Globular cluster,16h 17m,-22° 59',7.2,3.3,*,II -incl Nova T Sco(1860)
NGC6121,M  4,Scorpius,Globular cluster,16h 23.6m,-26° 32',5.9,26,*,IX
NGC6139,,Scorpius,Globular cluster,16h 27.7m,-38° 51',10,1.3,,II
NGC6144,,Scorpius,Globular cluster,16h 27.3m,-26° 2',9.1,3.3,,XI
NGC6171,M107,Ophiuchus,Globular cluster,16h 32.5m,-13° 3',8.1,2.2,,X
NGC6205,M 13,Hercules,Globular cluster,16h 41.7m,36° 28',5.9,10,!!,V - Hercules Cluster
NGC6210,,Hercules,Planetary nebula,16h 44.5m,23° 49',9.7,20x13,,cnt str m: 12.5 - bluish
NGC6218,M 12,Ophiuchus,Globular cluster,16h 47.2m,-1° 57',6.6,9.3,!!,IX
NGC6231,,Scorpius,Open cluster,16h 54m,-41° 48',6,15,!,number: 100+
NGC6254,M 10,Ophiuchus,Globular cluster,16h 57.1m,-4° 6',6.6,8.2,!,VII
NGC6266,M 62,Ophiuchus,Globular cluster,17h 1.2m,-30° 7',6.6,4.3,*,IV - Burnham's under Sco
NGC6268,,Scorpius,Open cluster,17h 2.4m,-39° 44',9.5,6,,number: 30
NGC6273,M 19,Ophiuchus,Globular cluster,17h 2.6m,-26° 16',7.2,4.3,*,VIII
NGC6281,,Scorpius,Open cluster,17h 4.8m,-37° 54',5.4,8,,number: 25 - triangular
NGC6284,,Ophiuchus,Globular cluster,17h 4.5m,-24° 46',9,1.5,,IX
NGC6293,,Ophiuchus,Globular cluster,17h 10.2m,-26° 35',8.2,1.9,,IV
NGC6302,,Scorpius,Planetary nebula,17h 13.7m,-37° 6',10,50,,"fig-8 shape, Bug Nebula"
NGC6304,,Ophiuchus,Globular cluster,17h 14.5m,-29° 28',8.4,1.6,,VI
NGC6316,,Ophiuchus,Globular cluster,17h 16.6m,-28° 8',9,1.1,,III
NGC6333,M  9,Ophiuchus,Globular cluster,17h 19.2m,-18° 31',7.9,2.4,*,VIII
NGC6334,,Scorpius,Diffuse nebula,17h 20.5m,-35° 43',8.9,30,*,"s:A0-curious,complex neby"
NGC6341,M 92,Hercules,Globular cluster,17h 17.1m,43° 8',6.5,8.3,*,IV
NGC6352,,Ara,Globular cluster,17h 25.5m,-48° 25',8.2,2.5,,XI
NGC6356,,Ophiuchus,Globular cluster,17h 23.6m,-17° 49',8.4,1.7,,II
NGC6369,,Ophiuchus,Planetary nebula,17h 29.3m,-23° 46',12.9,28,,cnt str 16.6-perfect ring
NGC6383,,Scorpius,Open cluster,17h 34.8m,-32° 34',5.5,5,,number: 40
NGC6388,,Scorpius,Globular cluster,17h 36.3m,-44° 44',6.9,3.4,,III
NGC6397,,Ara,Globular cluster,17h 40.7m,-53° 40',5.7,19,*,IX - possibly nearest GC
NGC6400,,Scorpius,Open cluster,17h 40.8m,-36° 57',8.9,8,,number: 60
NGC6402,M 14,Ophiuchus,Globular cluster,17h 37.6m,-3° 15',7.6,3,*,
NGC6405,M  6,Scorpius,Open cluster,17h 40.1m,-32° 13',4.2,15,!!,n: 80 - Butterfly Cluster
NGC6441,,Scorpius,Globular cluster,17h 50.2m,-37° 3',7.4,2.3,,III
NGC6445,,Sagittarius,Planetary nebula,17h 49.2m,-20° 1',13.2,38x29,,cnt str:19 -6440 in field
NGC6475,M  7,Scorpius,Open cluster,17h 53.9m,-34° 49',3.3,80,!!,nmbr:80-fine naked-eye OC
NGC6494,M 23,Sagittarius,Open cluster,17h 56.8m,-19° 1',5.5,27,*,number: 150
NGC6503,,Draco,Spiral galaxy,17h 49.4m,70° 9',10.2,4.5x1.0,,Sb
NGC6514,M 20,Sagittarius,Diffuse nebula,18h 2.6m,-23° 2',9,29x27,!!,spec: O7 - Trifid Nebula
NGC6520,,Sagittarius,Open cluster,18h 3.4m,-27° 54',7.6,5,*,nmbr:25+ - B86 on W edge
NGC6523,M  8,Sagittarius,Diffuse nebula,18h 3.8m,-24° 23',6.8,80x40,!!!,spec: O7e - Lagoon Nebula
NGC6528,,Sagittarius,Globular cluster,18h 4.8m,-30° 3',9.5,0.5,,V - NGC 6522 in field
NGC6530,,Sagittarius,Open cluster,18h 4.8m,-24° 20',4.6,10,*,nmbr: 25 - in M8 (Lagoon)
NGC6531,M 21,Sagittarius,Open cluster,18h 4.6m,-22° 30',5.9,13,*,number: 70 - M20 in field
NGC6541,,Corona Australis,Globular cluster,18h 8m,-43° 42',6.6,6.3,,III
NGC6543,,Draco,Planetary nebula,17h 58.6m,66° 38',8.8,22x16,*,cnt str m:11.4 - bluish
NGC6572,,Ophiuchus,Planetary nebula,18h 12.1m,6° 51',9,16x13,,cnt str 12.0-blu/grn disc
NGC6584,,Telescopium,Globular cluster,18h 18.6m,-52° 13',9.2,2.5,,VIII
NGC6603,M 24,Sagittarius,Open cluster,18h 16.9m,-18° 29',4.6,4,*,number: 50 - star cloud
NGC6611,M 16,Serpens,Diffuse nebula,18h 18.8m,-13° 47',6.4,25,!!,neb & clust- Eagle Nebula
NGC6613,M 18,Sagittarius,Open cluster,18h 19.9m,-17° 8',6.9,9,*,number: 20
NGC6618,M 17,Sagittarius,Diffuse nebula,18h 20.8m,-16° 11',7.5,46x37,!!,Swan or Omega Nebula
NGC6620,,Sagittarius,Planetary nebula,18h 22.9m,-26° 49',15,5,,cnt str m: 15.8 - stellar
NGC6624,,Sagittarius,Globular cluster,18h 23.7m,-30° 22',8.3,2,,VI - X-ray source
NGC6626,M 28,Sagittarius,Globular cluster,18h 24.5m,-24° 52',6.9,6,!,IV
NGC6629,,Sagittarius,Planetary nebula,18h 25.7m,-23° 12',10.6,16x14,,central star mag: 13.6
NGC6633,,Ophiuchus,Open cluster,18h 27.7m,6° 34',4.6,20,*,number: 30
NGC6637,M 69,Sagittarius,Globular cluster,18h 31.4m,-32° 21',7.7,2.5,*,V
NGC6638,,Sagittarius,Globular cluster,18h 30.9m,-25° 30',9.2,1.4,,VI
NGC6642,,Sagittarius,Globular cluster,18h 31.9m,-23° 29',8.8,2,,V? - 1 deg WNW of M22
NGC6652,,Sagittarius,Globular cluster,18h 35.8m,-32° 59',8.9,1.7,,VI
NGC6656,M 22,Sagittarius,Globular cluster,18h 36.4m,-23° 54',5.1,17.3,!!,VII - one of finest GCs
NGC6664,,Scutum,Open cluster,18h 36.7m,-8° 13',7.8,16,,n:50 - Alpha Sct in field
NGC6681,M 70,Sagittarius,Globular cluster,18h 43.2m,-32° 18',8.1,4,*,V
NGC6694,M 26,Scutum,Open cluster,18h 45.2m,-9° 24',8,15,*,number: 30
NGC6705,M 11,Scutum,Open cluster,18h 51.1m,-6° 16',5.8,14,!,n:200 - Wild Duck Cluster
NGC6709,,Aquila,Open cluster,18h 51.5m,10° 21',6.7,13,*,number: 40
NGC6712,,Scutum,Globular cluster,18h 53.1m,-8° 42',8.2,2.1,,IX
NGC6715,M 54,Sagittarius,Globular cluster,18h 55.1m,-30° 29',7.7,6,*,III
NGC6720,M 57,Lyra,Planetary nebula,18h 53.6m,33° 2',9.3,1.3x1,!!,cnt str:15 - Ring Nebula
NGC6723,,Sagittarius,Globular cluster,18h 59.6m,-36° 38',7.3,5.8,,VII - near CrA border
NGC6755,,Aquila,Open cluster,19h 7.8m,4° 14',7.5,15,,number: 100
NGC6760,,Aquila,Globular cluster,19h 11.2m,1° 2',9.1,1.9,,IX
NGC6779,M 56,Lyra,Globular cluster,19h 16.6m,30° 11',8.3,1.8,*,X
NGC6790,,Aquila,Planetary nebula,19h 23.2m,1° 31',11.4,2,,cent str m:18 - stellar
NGC6803,,Aquila,Planetary nebula,19h 31.3m,10° 3',11.4,5,,cent str m:14.1 - stellar
NGC6809,M 55,Sagittarius,Globular cluster,19h 40m,-30° 58',7,15,*,XI
NGC6811,,Cygnus,Open cluster,19h 38.2m,46° 34',6.8,13,,number: 70
NGC6818,,Sagittarius,Planetary nebula,19h 44m,-14° 9',9.9,22x15,,cnt str:15 -greenish disc
NGC6819,,Cygnus,Open cluster,19h 41.3m,40° 11',7.3,5,,n: 150 - Foxhead Cluster
NGC6822,,Sagittarius,Irregular galaxy,19h 44.9m,-14° 48',10,10x9,*,Ir - Barnard's Galaxy
NGC6826,,Cygnus,Planetary nebula,19h 44.8m,50° 31',8.8,27x24,,"cnt str: 10.8 -""Blinking"""
NGC6830,,Vulpecula,Open cluster,19h 51m,23° 4',7.9,12,,number: 20
NGC6838,M 71,Sagitta,Globular cluster,19h 53.8m,18° 47',8.3,6.1,*,class not certain
NGC6842,,Vulpecula,Planetary nebula,19h 55m,29° 17',13.6,50x45,,central star mag: 14.1
NGC6853,M 27,Vulpecula,Planetary nebula,19h 59.6m,22° 43',7.6,8x4,!!,Dumbbell Nebula
NGC6864,M 75,Sagittarius,Globular cluster,20h 6.1m,-21° 55',8.6,1.9,*,I - near Cap border
NGC6871,,Cygnus,Open cluster,20h 5.9m,35° 47',5.6,20,,number: 15
NGC6879,,Sagitta,Planetary nebula,20h 10.5m,16° 55',12.1,5,,cent str m:15.2 - stellar
NGC6885,,Vulpecula,Open cluster,20h 12m,26° 29',9.1,7,,number: 35
NGC6886,,Sagitta,Planetary nebula,20h 12.7m,19° 59',12.2,9x6,,central star mag: 16.6
NGC6891,,Delphinus,Planetary nebula,20h 15.2m,12° 42',11.4,15x7,,central star mag: 11.6
NGC6894,,Cygnus,Planetary nebula,20h 16.4m,30° 34',14.4,44,,cnt str m:17 - ring-shape
NGC6905,,Delphinus,Planetary nebula,20h 22.4m,20° 7',11.9,44x37,,cnt str m:14.2 - bluish
NGC6910,,Cygnus,Open cluster,20h 23.1m,40° 47',7.4,8,,number: 50
NGC6913,M 29,Cygnus,Open cluster,20h 23.9m,38° 32',6.6,7,*,number: 50
NGC6934,,Delphinus,Globular cluster,20h 34.2m,7° 24',8.9,1.5,,VIII
NGC6939,,Cepheus,Open cluster,20h 31.4m,60° 38',7.8,8,*,number: 80
NGC6940,,Vulpecula,Open cluster,20h 34.6m,28° 18',6.3,31,*,number: 60
NGC6946,,Cepheus,Spiral galaxy,20h 34.8m,60° 9',8.9,9.0x7.5,*,Sc - one of nearest SGs
NGC6960,,Cygnus,Diffuse nebula,20h 45.7m,30° 43',8,70x6,!!,SNR - Veil Nebula (west)
NGC6981,M 72,Aquarius,Globular cluster,20h 53.5m,-12° 32',9.4,2,*,IX
NGC6992,,Cygnus,Diffuse nebula,20h 56.4m,31° 43',8,60x8,!!,SNR - Veil Nebula (east)
NGC6994,M 73,Aquarius,Open cluster,20h 58.9m,-12° 38',9,2.8,*,asterism of 4 stars
NGC7000,,Cygnus,Diffuse nebula,20h 58.8m,44° 20',6,120x100,*,spec: cA2e- North America
NGC7006,,Delphinus,Globular cluster,21h 1.5m,16° 11',10.6,1.1,*,I - very remote GC
NGC7009,,Aquarius,Planetary nebula,21h 4.2m,-11° 22',8.4,44x26,!,cnt str:12- Saturn Nebula
NGC7023,,Cepheus,Diffuse nebula,21h 1.8m,68° 12',6.8,18x18,*,spec:B5e -cmplx structure
NGC7026,,Cygnus,Planetary nebula,21h 6.3m,45° 71',12.7,25x5,,central star mag: 14.8
NGC7027,,Cygnus,Planetary nebula,21h 7.1m,42° 14',10.4,18x11,,cnt str m:17.1 - blu/grn
NGC7078,M 15,Pegasus,Globular cluster,21h 30m,12° 10',6.4,7.4,!,IV - fine object
NGC7086,,Cygnus,Open cluster,21h 30.5m,51° 35',8.4,9,,number: 50
NGC7089,M  2,Aquarius,Globular cluster,21h 33.5m,0° 49',6.5,13,!!,II
NGC7092,M 39,Cygnus,Open cluster,21h 32.2m,48° 26',4.6,32,*,number: 30
NGC7099,M 30,Capricornus,Globular cluster,21h 40.4m,-23° 11',7.5,5.7,!,V
NGC7128,,Cygnus,Open cluster,21h 44m,53° 43',9.7,3.1,,number: 35
NGC7209,,Lacerta,Open cluster,22h 5.2m,46° 30',6.7,25,,number: 25
NGC7217,,Pegasus,Spiral galaxy,22h 7.9m,31° 22',10.2,2.6x2.3,*,Sb
NGC7243,,Lacerta,Open cluster,22h 15.3m,49° 53',6.4,21,,number: 40
NGC7293,,Aquarius,Planetary nebula,22h 29.6m,-20° 48',6.5,900x720,!,cnt str:13 - Helix Nebula
NGC7331,,Pegasus,Spiral galaxy,22h 37.1m,34° 25',9.5,10.0x2.3,*,Sb - similar to Milky Way
NGC7448,,Pegasus,Spiral galaxy,23h 0.1m,15° 59',11.7,2x1,,Sc
NGC7541,,Pisces,Spiral galaxy,23h 14.7m,4° 32',11.7,2.9x0.9,,Sc
NGC7635,,Cassiopeia,Diffuse nebula,23h 20.7m,61° 12',6.9,205x180,*,spec: B2 - Bubble Nebula
NGC7654,M 52,Cassiopeia,Open cluster,23h 24.2m,61° 35',6.9,13,*,number: 100
NGC7662,,Andromeda,Planetary nebula,23h 25.9m,42° 33',8.9,32x28,*,cent str m:13 -blue/green
NGC7723,,Aquarius,Spiral galaxy,23h 38.9m,-12° 58',11.1,3.6x2.6,,Sb
NGC7727,,Aquarius,Spiral galaxy,23h 39.9m,-12° 18',10.7,2.7,,S - faint outer arms
NGC7789,,Cassiopeia,Open cluster,23h 57m,56° 44',6.7,16,*,number: 300
NGC7790,,Cassiopeia,Open cluster,23h 58.4m,61° 13',8.5,17,,number: 40
NGC7793,,Sculptor,Spiral galaxy,23h 57.8m,-32° 35',9.1,6x4,!,"Sd - large oval, loose SG"
NGC7814,,Pegasus,Spiral galaxy,0h 3.3m,16° 9',10.5,1x5,*,Sb - edge-on/dust lane
3C 273,,Virgo,Quasar,12h 29.1m,2° 3',12.8,"1""       ",*,LY in millions - Quasar
B   33,,Orion,Dark nebula,5h 40.9m,-2° 28',,6x4,!!,opacty:4-Horsehead Nebula
B   72,,Ophiuchus,Dark nebula,17h 23.5m,-23° 38',,30x3,*,opacity:6 - S-shape
