;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC1232,,Eridanus,Spiral galaxy,3h 9.8m,-20° 35',9.9,7.0x5.5,,Sc - fine many-arm spiral
NGC1245,,Perseus,Open cluster,3h 14.7m,47° 15',8.4,10,*,number: 200
NGC1261,,Horologium,Globular cluster,3h 12.3m,-55° 13',8.4,2,,II
NGC1316,,Fornax,Spiral galaxy,3h 22.7m,-37° 12',8.9,3.5x2.5,*,S(B)0p - radio source
NGC1332,,Eridanus,Elliptical galaxy,3h 26.3m,-21° 20',10.3,3.4x1.0,,E7
NGC1342,,Perseus,Open cluster,3h 31.6m,37° 20',6.7,15,,number: 40
NGC1365,,Fornax,Spiral galaxy,3h 33.6m,-36° 8',9.5,8.0x3.5,*,SB
NGC1395,,Eridanus,Elliptical galaxy,3h 38.5m,-23° 2',11.3,2.1x1.4,,E3
NGC1398,,Fornax,Spiral galaxy,3h 38.9m,-26° 20',9.7,4.5x3.8,*,SBb
NGC1399,,Fornax,Elliptical galaxy,3h 38.5m,-35° 27',9.9,1.4x1.4,,E1p
NGC1407,,Eridanus,Elliptical galaxy,3h 40.2m,-18° 35',10.6,1.1x1.1,,E0
NGC1499,,Perseus,Diffuse nebula,4h 0.7m,36° 37',4.1,145x40,*,sp: O7n - California Neb.
NGC1501,,Camelopardis,Planetary nebula,4h 7m,60° 55',13.3,56x48,*,cent str m:13.4-blue disk
NGC1502,,Camelopardis,Open cluster,4h 7.7m,62° 20',5.7,8,,number: 45
NGC1514,,Taurus,Planetary nebula,4h 9.2m,30° 47',10.8,120x90,*,central star mag: 9.7
