Name,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
51 NEMAUSA,7.35,0.08,321.68965,2.327816,176.2659,9.958772,0.066278,2.3659961,48800
52 EUROPA,6.31,0.18,272.42918,337.51256,129.27156,7.438953,0.099662,3.1023287,48800
53 KALYPSO,8.81,0.15,305.9569,312.01898,144.04754,5.14939,0.2014689,2.6207323,48800
54 ALEXANDRA,7.66,0.15,13.250856,345.30878,313.58538,11.827067,0.1996948,2.7094839,48800
55 PANDORA,7.8,0.15,56.79721,3.130226,10.836242,7.201402,0.1436983,2.7589941,48800
56 MELETE,8.31,0.15,100.24596,102.92471,193.83969,8.07923,0.2351886,2.5968698,48800
57 MNEMOSYNE,7.03,0.15,209.99277,215.7995,199.45129,15.210869,0.1194228,3.1470084,48800
58 CONCORDIA,8.86,0.15,279.39366,32.666337,161.52732,5.061601,0.0461908,2.6987998,48800
59 ELPIS,7.93,0.15,157.77969,211.13572,170.37253,8.645255,0.1171952,2.7154618,48800
60 ECHO,8.21,0.27,121.44963,269.54079,192.10263,3.597103,0.1831844,2.3931285,48800
61 DANAE,7.68,0.15,196.58541,13.368583,334.04697,18.210393,0.1621942,2.9905197,48800
62 ERATO,8.76,0.15,292.47498,274.18464,125.81347,2.22285,0.1843649,3.1160915,48800
63 AUSONIA,7.55,0.25,55.024986,295.10381,338.2225,5.789266,0.125181,2.3958827,48800
64 ANGELINA,7.67,0.48,357.96972,179.75477,309.90456,1.310285,0.1256565,2.6814301,48800
65 CYBELE,6.62,0.01,175.50312,109.20977,156.05178,3.544445,0.1046347,3.4330659,48800
66 MAJA,9.36,0.15,296.17603,42.788573,8.047279,3.053213,0.1741642,2.6455909,48800
67 ASIA,8.28,0.15,236.41272,105.4171,202.98236,6.013977,0.1854315,2.4222142,48800
68 LETO,6.78,0.05,340.31088,304.1024,44.52881,7.963062,0.1874983,2.7812008,48800
69 HESPERIA,7.05,0.19,225.85974,286.08708,185.91336,8.540336,0.1666756,2.9816445,48800
70 PANOPAEA,8.11,0.14,306.10923,255.61648,48.029209,11.580739,0.1831649,2.614373,48800
71 NIOBE,7.3,0.4,313.19717,265.90022,316.47629,23.29247,0.1750286,2.7557805,48800
72 FERONIA,8.94,0.15,55.790955,102.5692,208.24748,5.410657,0.1211134,2.2662408,48800
73 KLYTIA,9,0.15,92.258514,56.242326,7.394388,2.38448,0.0419121,2.6661671,48800
74 GALATEA,8.66,0.15,350.69824,173.66604,197.72642,4.061384,0.2392913,2.7784959,48800
75 EURYDIKE,8.96,0.23,270.33473,338.92721,359.59024,5.015886,0.3080041,2.6698895,48800
76 FREIA,7.9,0.15,189.1275,256.23423,204.75906,2.115886,0.1655477,3.4137719,48800
77 FRIGGA,8.52,0.16,229.23783,60.684304,1.57281,2.433989,0.1339192,2.6675908,48800
78 DIANA,8.09,0.08,203.08264,150.84678,333.8541,8.668994,0.2045552,2.6227554,48800
79 EURYNOME,7.96,0.25,222.88079,200.20006,207.0226,4.625459,0.1937669,2.4436026,48800
80 SAPPHO,7.98,0.15,201.09847,139.17112,218.9575,8.663882,0.1999949,2.29648,48800
81 TERPSICHORE,8.48,0.15,144.50449,50.835474,1.573619,7.821068,0.2111177,2.853263,48800
82 ALKMENE,8.4,0.28,232.52268,110.29764,25.911666,2.837359,0.2204592,2.7637831,48800
83 BEATRIX,8.66,0.15,205.07907,166.66008,27.878272,4.97466,0.0825481,2.4317196,48800
84 KLIO,9.32,0.15,326.79236,14.69772,327.89007,9.340896,0.237604,2.3616909,48800
85 IO,7.61,0.15,147.15883,122.37012,203.555,11.960857,0.1926294,2.6534844,48800
86 SEMELE,8.54,0.15,41.143015,302.9642,87.319478,4.793267,0.2113096,3.1102698,48800
87 SYLVIA,6.94,0.15,40.451291,272.85267,73.740879,10.870156,0.0814119,3.4896359,48800
88 THISBE,7.04,0.14,113.33397,34.97101,277.03469,5.219917,0.1637405,2.7670368,48800
89 JULIA,6.6,0.15,287.06308,44.897854,311.7522,16.135979,0.1826032,2.5501407,48800
90 ANTIOPE,8.27,0.15,231.06912,236.61272,70.860368,2.232334,0.1566397,3.160835,48800
91 AEGINA,8.84,0.15,10.755484,73.229506,11.024702,2.12007,0.1037138,2.5902377,48800
92 UNDINA,6.61,0.15,278.9732,244.64367,102.07851,9.898424,0.0933997,3.1928632,48800
93 MINERVA,7.7,0.15,165.827,273.53723,4.62599,8.570307,0.1420452,2.7530117,48800
94 AURORA,7.57,0.15,38.556131,52.31763,3.194259,8.015147,0.0807555,3.1614185,48800
95 ARETHUSA,7.84,0.15,79.690293,151.75318,243.73108,12.925743,0.1426904,3.073304,48800
96 AEGLE,7.67,0.15,100.44232,203.49851,322.34704,16.025888,0.1378553,3.0512354,48800
97 KLOTHO,7.63,0.15,256.9299,267.80978,160.18064,11.758055,0.2589012,2.6675501,48800
98 IANTHE,8.84,0.15,94.381896,156.85255,354.34019,15.577737,0.1884386,2.6864634,48800
99 DIKE,9.43,0.15,183.15334,194.92126,41.890133,13.907841,0.199937,2.6607148,48800
100 HEKATE,7.67,0.15,271.55779,184.7364,127.74016,6.402099,0.1557885,3.1007922,48800
101 HELENA,8.33,0.35,307.92095,347.09203,343.62056,10.189276,0.1415568,2.5821039,48800
102 MIRIAM,9.26,0.15,186.56886,146.74113,211.07677,5.157355,0.253078,2.6641107,48800
103 HERA,7.66,0.15,339.49469,189.5099,136.38074,5.419818,0.0817703,2.7016577,48800
104 KLYMENE,8.27,0.15,0.987476,25.297961,42.31571,2.8238,0.1473831,3.1570092,48800
105 ARTEMIS,8.57,0.1,46.12449,56.023655,188.54504,21.484577,0.1766173,2.373103,48800
106 DIONE,7.41,0.15,313.37923,330.49973,62.605006,4.623005,0.1800333,3.1631635,48800
107 CAMILLA,7.08,0.08,290.57991,296.64647,174.15046,9.926069,0.0840731,3.482488,48800
108 HECUBA,8.09,0.15,148.05247,176.94133,350.85232,4.287308,0.05636,3.2394364,48800
109 FELICITAS,8.75,0.04,231.78534,56.39642,3.509008,7.886618,0.299322,2.6936591,48800
110 LYDIA,7.8,0.2,228.62668,283.4482,57.125793,5.96868,0.0787566,2.7334167,48800
111 ATE,8.02,0.15,275.11268,166.15357,306.13067,4.916533,0.0995816,2.5952658,48800
112 IPHIGENIA,9.84,0.15,45.281006,16.523479,324.04541,2.611204,0.1295272,2.4335718,48800
113 AMALTHEA,8.74,0.35,18.169631,79.056695,123.65452,5.034267,0.0875841,2.3756141,48800
114 KASSANDRA,8.26,0.15,16.832932,351.84837,164.5138,4.940991,0.1406943,2.6758019,48800
115 THYRA,7.51,0.12,266.97873,95.873061,309.31903,11.58756,0.1927107,2.3798469,48800
116 SIRONA,7.82,0.15,285.1532,94.43725,64.105598,3.572501,0.1387585,2.7682871,48800
117 LOMIA,7.95,0.15,74.451831,58.900815,349.22945,14.934285,0.0219094,2.9909827,48800
118 PEITHO,9.14,0.15,292.33373,33.086893,47.817139,7.747712,0.16122,2.4382175,48800
119 ALTHAEA,8.42,0.15,182.70843,170.93966,203.89195,5.763703,0.080992,2.5819864,48800
120 LACHESIS,7.75,0.15,275.44295,236.74948,341.70035,6.968939,0.0650067,3.1140417,48800
121 HERMIONE,7.31,0.15,155.93675,290.34887,74.252408,7.532044,0.1422099,3.4553341,48800
122 GERDA,7.87,0.15,93.524092,330.90196,178.79906,1.636239,0.0486865,3.216023,48800
123 BRUNHILD,8.89,0.15,298.7521,123.73457,308.23261,6.415554,0.1202661,2.6956301,48800
124 ALKESTE,8.11,0.19,108.94476,62.513855,188.4501,2.94914,0.0786377,2.6298544,48800
125 LIBERATRIX,9.04,0.33,201.06863,107.37345,169.45873,4.657551,0.0800457,2.7423442,48800
126 VELLEDA,9.27,0.15,186.25186,327.30933,23.604305,2.924143,0.1049774,2.4401439,48800
127 JOHANNA,8.3,0.15,332.12352,94.399885,31.589281,8.256436,0.0639444,2.7553127,48800
128 NEMESIS,7.49,0.15,115.73705,302.26695,76.670223,6.244186,0.1249258,2.7518706,48800
129 ANTIGONE,7.07,0.33,113.41649,109.02371,136.52891,12.219328,0.2136926,2.8674701,48800
130 ELEKTRA,7.12,0.15,356.66692,234.60526,145.96156,22.874664,0.2174334,3.1147818,48800
131 VALA,10.03,0.15,164.71535,158.46582,65.848605,4.955294,0.0671575,2.4319614,48800
132 AETHRA,9.38,0.15,141.61459,254.21334,259.1273,25.06925,0.3849641,2.6126846,48800
133 CYRENE,7.98,0.13,132.636,292.69433,319.36381,7.226475,0.140245,3.0602671,48800
134 SOPHROSYNE,8.76,0.28,278.70391,82.912563,346.47926,11.586946,0.116275,2.5644638,48800
135 HERTHA,8.23,0.15,306.55876,339.70629,344.13324,2.303254,0.204606,2.4288334,48800
136 AUSTRIA,9.69,0.15,303.95446,132.69299,186.68291,9.57497,0.0847592,2.2864993,48800
137 MELIBOEA,8.05,0.15,82.488084,107.87265,202.57142,13.43641,0.2231839,3.1110168,48800
138 TOLOSA,8.75,0.15,246.28546,259.16544,55.146955,3.209825,0.1626347,2.449217,48800
139 JUEWA,7.78,0.15,350.40543,165.84803,2.22684,10.943115,0.177967,2.7797889,48800
140 SIWA,8.34,0.15,81.216923,195.87931,107.40842,3.188886,0.2173386,2.7307662,48800
141 LUMEN,8.2,0.15,101.08606,56.927023,319.12801,11.911613,0.2139996,2.6668226,48800
142 POLANA,10.27,0.15,353.86476,292.24916,291.48439,2.239476,0.1362845,2.4178506,48800
143 ADRIA,9.12,0.15,135.67468,253.07524,333.39828,11.465134,0.0717204,2.7621469,48800
144 VIBILIA,7.91,0.17,296.03083,293.29349,76.732049,4.814444,0.234412,2.6542081,48800
145 ADEONA,8.13,0.15,47.790459,44.968715,77.700541,12.619472,0.1469868,2.6725455,48800
146 LUCINA,8.2,0.11,64.914757,145.52245,84.358667,13.086287,0.0636271,2.7192337,48800
147 PROTOGENEIA,8.27,0.15,312.07911,119.11575,249.38694,1.931474,0.0366324,3.1361524,48800
148 GALLIA,7.63,0.15,71.73217,251.79914,145.42889,25.317084,0.1847164,2.7721094,48800
149 MEDUSA,10.79,0.15,96.211644,250.70805,159.67094,0.934466,0.0649919,2.1751103,48800
150 NUWA,8.23,0.15,250.42382,153.98003,206.58549,2.18886,0.1292225,2.9799889,48800
151 ABUNDANTIA,9.24,0.15,218.27308,135.98497,39.165998,6.455974,0.0343461,2.5918554,48800
152 ATALA,8.33,0.15,306.0955,49.139963,40.507742,12.172594,0.070704,3.1429497,48800
153 HILDA,7.48,0.15,33.930911,42.354613,228.50806,7.831905,0.1428965,3.9802324,48800
154 BERTHA,7.58,0.15,49.524294,152.59662,37.205211,21.102718,0.0918991,3.1815782,48800
155 SCYLLA,11.39,0.15,139.30524,46.009344,41.249503,11.394972,0.2767548,2.7552301,48800
156 XANTHIPPE,8.64,0.15,140.59859,338.37188,242.31446,9.754989,0.2235658,2.7317511,48800
157 DEJANIRA,10.6,0.15,19.468085,47.19747,62.260965,12.143617,0.1959158,2.5808038,48800
158 KORONIS,9.27,0.15,29.174045,142.69808,279.1629,1.00145,0.051515,2.8683187,48800
159 AEMILIA,8.12,0.15,60.160337,338.68915,134.43895,6.123621,0.1101849,3.1037354,48800
160 UNA,9.08,0.15,22.252865,49.830037,9.090954,3.833865,0.0644221,2.7274037,48800
161 ATHOR,9.15,0.13,146.50255,294.03736,18.882242,9.049831,0.1390442,2.3785797,48800
162 LAURENTIA,8.83,0.15,93.246531,111.92876,36.605446,6.099272,0.1817426,3.0157626,48800
163 ERIGONE,9.47,-0.04,59.74788,297.47079,160.45854,4.799142,0.1921369,2.36756,48800
164 EVA,8.8,0.15,350.03594,283.66208,77.301863,24.490995,0.3451334,2.6326951,48800
165 LORELEY,7.65,0.15,352.58568,352.19769,303.07345,11.246031,0.0753343,3.1298219,48800
166 RHODOPE,9.89,0.15,65.936348,263.23512,129.46699,12.015701,0.2107243,2.6862817,48800
167 URDA,9.24,0.15,40.55214,130.72664,166.60708,2.204355,0.0372221,2.8536803,48800
168 SIBYLLA,7.94,0.15,224.20791,163.96905,207.16946,4.613867,0.0574855,3.3780285,48800
169 ZELIA,9.56,0.15,14.607824,334.71668,355.00676,5.51379,0.1317552,2.3582223,48800
170 MARIA,9.39,0.15,124.59933,156.71066,301.58799,14.424816,0.065675,2.5521705,48800
171 OPHELIA,8.31,0.15,246.19473,58.307632,100.67546,2.542635,0.1204153,3.1385829,48800
172 BAUCIS,8.79,0.15,332.51967,359.45188,332.31606,10.033129,0.1144254,2.379843,48800
173 INO,7.66,0.01,70.393941,227.15943,148.70365,14.221533,0.2077462,2.7426189,48800
174 PHAEDRA,8.48,0.15,337.3174,289.53639,328.05321,12.148097,0.1399,2.8618469,48800
175 ANDROMACHE,8.31,0.15,308.11882,322.34889,21.495621,3.220749,0.2296776,3.1888766,48800
176 IDUNA,7.9,0.15,91.443935,181.09658,201.08293,22.560165,0.1637217,3.1898671,48800
177 IRMA,9.49,0.15,320.52181,37.832292,348.02196,1.398114,0.2377616,2.768708,48800
178 BELISANA,9.38,0.15,34.157524,210.70965,51.31817,1.903653,0.0440779,2.4600801,48800
179 KLYTAEMNESTRA,8.15,0.15,183.78613,105.51459,252.34021,7.80027,0.1090464,2.9771167,48800
180 GARUMNA,10.31,0.15,172.1754,173.642,313.09335,0.874359,0.1667616,2.7224763,48800
181 EUCHARIS,7.84,0.15,275.80243,313.36584,144.20941,18.683487,0.2024861,3.1385735,48800
182 ELSA,9.12,0.15,232.72094,309.39703,107.33516,2.001712,0.1868894,2.416095,48800
183 ISTRIA,9.68,0.15,236.17034,263.94023,142.34178,26.428166,0.3495987,2.7906368,48800
184 DEJOPEJA,8.31,0.15,30.665496,209.20751,332.85038,1.14847,0.0833334,3.1771782,48800
185 EUNIKE,7.62,0.15,213.23624,224.1655,154.10896,23.259166,0.1288331,2.7372706,48800
186 CELUTA,8.91,0.15,46.161932,315.18439,14.954157,13.186262,0.1513352,2.3616023,48800
187 LAMBERTA,8.16,0.15,97.701131,195.62067,22.026645,10.593258,0.2357259,2.7332973,48800
188 MENIPPE,9.22,0.15,258.30359,68.993195,241.3653,11.711929,0.1762762,2.7639275,48800
189 PHTHIA,9.33,0.15,236.63938,167.12218,203.84508,5.177177,0.0370159,2.449887,48800
190 ISMENE,7.59,0.15,120.2834,274.79762,176.0835,6.165566,0.1656507,3.9761979,48800
191 KOLGA,9.07,0.15,7.790122,225.20023,159.77032,11.502642,0.0891602,2.8953745,48800
192 NAUSIKAA,7.13,0.03,285.56003,29.788808,343.64013,6.826782,0.2482253,2.4018985,48800
193 AMBROSIA,9.68,0.15,64.571191,81.311146,350.3175,12.04257,0.2924345,2.6046367,48800
194 PROKNE,7.68,0.15,154.03761,163.00915,159.68048,18.520531,0.2373287,2.6165517,48800
195 EURYKLEIA,9.01,0.15,140.63378,115.6018,7.369204,6.975316,0.0437888,2.8768454,48800
196 PHILOMELA,6.54,0.15,116.85829,216.58087,72.73088,7.260173,0.0272089,3.1126626,48800
197 ARETE,9.18,0.15,267.95334,246.48054,81.889859,8.788761,0.1622677,2.7395796,48800
198 AMPELLA,8.33,0.15,41.508556,88.036667,268.85193,9.28841,0.2307829,2.45784,48800
199 BYBLIS,8.3,0.15,1.046072,176.73848,89.505071,15.316036,0.1609374,3.1893893,48800
200 DYNAMENE,8.26,0.15,255.5681,85.101191,324.91682,6.905317,0.134983,2.7365773,48800
201 PENELOPE,8.43,0.24,260.25078,180.93472,157.22027,5.760789,0.1816435,2.6773835,48800
202 CHRYSEIS,7.42,0.15,209.47485,354.05185,137.29715,8.818651,0.0951128,3.0770339,48800
203 POMPEJA,8.76,0.15,292.69514,56.695065,348.28529,3.184614,0.060826,2.7373093,48800
204 KALLISTO,8.89,0.15,43.358211,56.124225,205.42558,8.265243,0.1739489,2.6716769,48800
205 MARTHA,9.23,0.15,126.55009,175.34036,212.18242,10.684176,0.0334882,2.7791064,48800
206 HERSILIA,8.68,0.15,239.38905,297.87277,145.42093,3.773106,0.0397531,2.7409966,48800
207 HEDDA,9.92,0.15,43.078717,192.17553,29.410191,3.809567,0.02877,2.2837075,48800
208 LACRIMOSA,8.96,0.15,240.45798,114.70365,4.861302,1.754457,0.0103892,2.8936007,48800
209 DIDO,8.24,0.15,189.59803,255.73787,1.025873,7.194742,0.067389,3.1424802,48800
210 ISABELLA,9.33,0.15,24.365673,12.976131,33.01488,5.272385,0.1220485,2.7219652,48800
211 ISOLDA,7.89,0.12,62.423363,175.7462,264.15762,3.87259,0.1564434,3.0477914,48800
212 MEDEA,8.28,0.15,248.50879,101.53909,313.95481,4.280527,0.1180442,3.10901,48800
213 LILAEA,8.64,0.15,100.43109,162.25232,122.31092,6.802316,0.1478102,2.7513693,48800
214 ASCHERA,9.5,0.51,270.43678,132.78117,342.49056,3.434672,0.0285993,2.6117738,48800
215 OENONE,9.59,0.15,4.256822,317.93874,25.259981,1.693498,0.0369027,2.7667882,48800
216 KLEOPATRA,7.3,0.29,163.17405,179.50532,215.71104,13.125926,0.2513535,2.7940635,48800
217 EUDORA,9.8,0.15,8.33391,154.52816,163.21059,10.474008,0.3079056,2.8704401,48800
218 BIANCA,8.6,0.32,341.13508,60.805653,170.96925,15.218742,0.1139861,2.6679775,48800
219 THUSNELDA,9.32,0.15,357.14408,142.2296,201.0468,10.846088,0.2249947,2.3537371,48800
220 STEPHANIA,11,0.15,239.76513,78.377762,258.19436,7.589536,0.2565412,2.3494705,48800
221 EOS,7.67,0.13,206.94978,193.99375,142.27323,10.86469,0.0961302,3.0182446,48800
222 LUCIA,9.13,0.15,228.25971,179.629,80.490538,2.160469,0.1468352,3.1287383,48800
223 ROSA,9.68,0.15,156.8287,59.288837,48.386759,1.944837,0.1303987,3.0851961,48800
224 OCEANA,8.59,0.15,148.6073,280.97846,353.33124,5.84751,0.0461193,2.6444221,48800
225 HENRIETTA,8.72,0.15,205.43982,104.95832,197.35054,20.907625,0.274407,3.3736168,48800
226 WERINGIA,9.75,0.15,235.30378,152.56013,135.41909,15.931533,0.202536,2.71457,48800
227 PHILOSOPHIA,8.7,0.15,325.86526,261.33528,328.20201,9.14308,0.2073293,3.1435824,48800
228 AGATHE,12.48,0.15,224.23341,18.505474,313.67821,2.539791,0.2412144,2.2023664,48800
229 ADELINDA,9.13,0.15,145.03938,311.07583,28.493039,2.11406,0.1575611,3.4044751,48800
230 ATHAMANTIS,7.35,0.27,277.40228,139.25432,240.05892,9.439106,0.0618458,2.3822429,48800
231 VINDOBONA,9.2,0.15,73.822024,268.58091,351.03782,5.099296,0.1565665,2.9200827,48800
232 RUSSIA,10.25,0.15,247.27319,49.829465,152.84438,6.083012,0.1794103,2.548928,48800
233 ASTEROPE,8.21,0.15,299.13528,125.39733,222.43134,7.668377,0.1016471,2.6593089,48800
234 BARBARA,9.02,0.15,185.09578,191.42513,144.75448,15.355074,0.2432971,2.387625,48800
235 CAROLINA,8.82,0.15,207.82941,207.06939,66.475568,9.040544,0.0626607,2.8807967,48800
236 HONORIA,8.18,-0.02,243.0736,174.41198,186.2417,7.690371,0.1904679,2.7978053,48800
237 COELESTINA,9.24,0.15,165.1026,198.61009,84.590236,9.755821,0.0740164,2.7612458,48800
238 HYPATIA,8.18,0.15,221.43925,209.52781,184.27975,12.402534,0.0912126,2.9050109,48800
239 ADRASTEA,10.3,0.15,343.09809,207.84392,181.29028,6.166412,0.2339518,2.9685835,48800
240 VANADIS,9,0.15,226.62624,300.45187,115.28578,2.103695,0.2081981,2.6628429,48800
241 GERMANIA,7.58,0.15,97.866806,73.477049,271.3237,5.50709,0.1017189,3.0481716,48800
242 KRIEMHILD,9.7,0.15,1.338204,278.45064,207.50493,11.318817,0.1212347,2.8623714,48800
243 IDA,9.94,0.15,45.947226,111.64989,324.72858,1.140943,0.0420852,2.8615643,48800
244 SITA,12.2,0.15,221.4562,165.94651,209.21623,2.840695,0.1376138,2.1741769,48800
245 VERA,7.82,0.15,331.15935,327.35587,61.741999,5.189512,0.206353,3.0885893,48800
246 ASPORINA,8.62,0.15,11.676725,96.716777,162.60727,15.634279,0.1062359,2.694845,48800
247 EUKRATE,8.04,0.15,325.4856,54.365034,0.537097,25.021111,0.2438578,2.7410264,48800
248 LAMEIA,10.21,0.15,191.58795,10.469766,247.29986,4.040107,0.0641954,2.4708385,48800
249 ILSE,11.33,0.15,19.455352,41.167807,335.06506,9.654445,0.2170147,2.3772214,48800
250 BETTINA,7.58,0.15,311.6548,70.662193,24.652048,12.888273,0.1217104,3.1528811,48800
251 SOPHIA,10,0.15,141.42122,289.794,156.4999,10.528604,0.1073011,3.0899473,48800
252 CLEMENTINA,9.1,0.15,25.148215,155.79825,202.59623,10.071461,0.0822043,3.154808,48800
253 MATHILDE,10.2,0.15,316.99224,156.46419,179.91637,6.707604,0.2659114,2.6456575,48800
254 AUGUSTA,12.13,0.15,193.63212,233.03306,28.681317,4.516291,0.121999,2.1944066,48800
255 OPPAVIA,10.39,0.15,157.60598,153.3883,14.013386,9.479917,0.0772164,2.7467844,48800
256 WALPURGA,9.8,0.15,116.04076,52.606969,183.30652,13.302944,0.0670951,3.0007976,48800
257 SILESIA,9.47,0.15,255.9129,25.954204,35.088628,3.648923,0.125905,3.1120821,48800
258 TYCHE,8.5,0.23,267.64643,154.42158,207.95826,14.264895,0.2043617,2.6145131,48800
259 ALETHEIA,7.76,0.15,26.638738,165.66318,87.715844,10.76649,0.111924,3.1469498,48800
260 HUBERTA,8.97,0.15,198.86472,174.53731,165.95819,6.443834,0.124483,3.4502698,48800
261 PRYMNO,9.44,0.19,120.00352,65.499887,96.828866,3.634131,0.0900134,2.3313568,48800
262 VALDA,11.67,0.15,302.97667,23.72647,38.866635,7.729075,0.2140424,2.5527526,48800
263 DRESDA,10.4,0.15,210.46504,161.67675,216.83399,1.30803,0.0790726,2.8853649,48800
264 LIBUSSA,8.42,0.15,202.49896,340.33796,49.902949,10.431014,0.1368437,2.7968553,48800
265 ANNA,11.2,0.15,300.55728,252.03123,335.70225,25.62833,0.2670227,2.4209348,48800
266 ALINE,8.8,0.15,7.126264,149.89971,236.27121,13.395174,0.157537,2.8040007,48800
267 TIRZA,10.5,0.15,252.76128,194.55319,74.128408,6.001455,0.099141,2.7760883,48800
268 ADOREA,8.28,0.15,151.49941,69.199898,121.06281,2.43342,0.1233332,3.1046146,48800
269 JUSTITIA,9.5,0.15,329.33403,120.33618,156.87837,5.474885,0.2135,2.6161209,48800
