Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
AGENOR 1873,10.5,0.15,271.24555,355.22652,197.95592,21.850204,0.0918512,5.2607924,48800
AGLAJA 47,7.84,0.16,236.28213,314.58479,3.466551,4.993924,0.1300845,2.8841742,48800
AGNES 641,12.1,0.15,174.08193,17.533391,41.173924,1.716758,0.1289826,2.2195328,48800
AGNIA 847,10.29,0.15,140.08804,129.61738,271.53841,2.475131,0.0938756,2.7844726,48800
AGRIPPINA 645,9.94,0.15,252.91632,82.022149,0.991395,7.030898,0.1663863,3.1949043,48800
AGUILAR 1800,12.6,0.15,204.27726,214.14546,124.40397,5.782621,0.134519,2.358438,48800
AGUNTINA 744,10.21,0.15,345.016,33.086398,142.89726,7.709922,0.1248614,3.1698009,48800
AHNERT 3181,12.8,0.15,165.63106,304.22893,221.39116,3.953083,0.0650637,2.2292739,48800
AHO 2395,12.6,0.15,198.73727,161.16736,98.546023,0.301451,0.0561636,3.0775982,48800
AHRENSA 950,11.6,0.15,199.6624,347.34006,181.97579,23.488578,0.159841,2.3714313,48800
AHTI 2826,10.8,0.15,226.0363,160.3115,34.033486,15.516163,0.0364999,3.2235907,48800
AIDA 861,9.6,0.15,359.49897,199.81522,115.29409,8.057319,0.1002041,3.1417271,48800
AIDAMINA 978,9.73,0.15,3.660514,134.18898,216.84134,21.669195,0.2389206,3.1917684,48800
AIGUILLON 1918,12.2,0.15,7.382964,237.85439,195.81026,9.218595,0.1169226,3.1991936,48800
AISLEEN 1568,12.1,0.15,227.78561,228.74092,146.45961,24.889231,0.2549615,2.3514243,48800
AITKEN 3070,13.8,0.15,108.51645,51.967163,170.63032,2.341158,0.1965875,2.3064071,48800
AJAX 1404,9.2,0.15,206.07283,59.584138,332.97135,18.028911,0.112782,5.2818189,48800
AKHMATOVA 3067,13,0.15,279.87652,94.900566,350.78355,4.530136,0.1375636,2.2457446,48800
AKIYAMA 2153,11.9,0.15,212.15575,31.623043,47.92031,1.193295,0.1673419,3.1108608,48800
AKO 4797,12.5,0.15,299.54733,77.00587,321.41814,1.81106,0.1855666,2.4118147,49000
