Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
1937YD 2712,14.3,0.15,16.637834,334.30837,169.99653,0.814701,0.0366563,2.1624364,48800
1938AD 3427,13.5,0.15,9.769955,75.503539,310.4911,2.605989,0.1347495,2.2806484,48800
1938DB1 3272,13.2,0.15,105.05551,12.911954,94.225667,3.925936,0.0919258,2.2437865,48800
1938DH2 3212,13.9,0.15,25.084512,34.750454,110.18981,7.811484,0.151721,2.2568069,48800
1938DK1 4181,12,0.15,344.29498,339.55656,152.28063,14.40324,0.1332262,2.6100876,48800
1938DN 2898,12.5,0.15,291.48466,214.31262,116.90827,14.305268,0.0214304,2.5553578,48800
1938DW1 2665,13.2,0.15,8.996339,287.81108,276.24975,4.788901,0.0848656,2.247401,48800
1938DZ 3281,12.6,0.15,329.1751,239.9313,348.82985,5.99426,0.0987283,2.3498823,48800
1938GG 3776,10.2,0.15,173.30255,165.13816,39.975335,27.445973,0.057181,3.1857663,48800
1938GJ 2911,11.3,0.15,205.00702,65.256603,149.55912,9.610397,0.0962445,2.7933857,48800
1938HE 4297,12.6,0.15,335.61964,180.99406,121.96712,5.855521,0.1918802,2.3355047,48800
1938SD1 2825,13.4,0.15,314.1234,80.893608,329.85437,3.525422,0.1737433,2.2460517,48800
1939BM 4512,11.7,0.15,219.6001,355.9019,119.88772,10.293789,0.2044448,2.769631,48800
1939PM 2306,11.4,0.15,253.17325,104.24328,237.12711,4.224039,0.0625936,2.7314652,48800
1939SF 3606,12.3,0.15,201.43281,107.61497,250.66511,12.368311,0.2303436,2.6063729,48800
1939TB 2972,13.9,0.15,279.63386,139.05744,204.58654,1.090325,0.1697982,2.1508086,48800
1939TC 2885,14.1,0.15,260.19711,43.661426,349.52428,2.877261,0.1949559,2.2372052,48800
1940 GO 5153,11.5,0.15,129.87464,38.91324,91.35549,12.81834,0.1765211,2.6538807,49000
1940EC 2738,12.2,0.15,215.77106,267.39245,291.28543,1.116345,0.1140352,2.7194662,48800
1940EF 3380,12,0.15,32.764943,22.000052,93.185589,3.238916,0.0261188,2.8439473,48800
1940FG 3166,13,0.15,217.51388,118.16541,72.166716,5.239992,0.1166951,2.2378416,48800
1940GF 3099,11.4,0.15,254.97702,146.6453,31.476685,15.475446,0.2047972,2.8769051,48800
1940QB 3911,11.4,0.15,272.57276,137.96881,210.69082,10.729881,0.0989279,3.0366233,48800
1940RG 4066,13.1,0.15,164.92499,88.376392,241.59406,5.271939,0.2229984,2.2428475,48800
1940WA 4162,11.6,0.15,297.44779,156.25783,254.58776,14.250593,0.1361959,2.8362846,48800
1940YE 4266,11.9,0.15,350.06874,158.33743,322.8874,16.503624,0.1681584,3.1777791,48800
1940YF 2962,11.3,0.15,120.8498,118.12007,54.583673,15.666531,0.0367182,2.568295,48800
1941 HA 5216,11.5,0.15,344.94036,191.39078,138.77514,14.09264,0.1615463,2.6081634,49000
1941 UN 5534,12,0.15,82.29258,48.74123,10.15752,7.56232,0.3323972,2.7645028,49200
1941HC 4163,10.9,0.15,322.86529,13.73535,129.44613,11.095748,0.0492657,3.0208947,48800
1941HD 3892,12.9,0.15,40.222652,72.70071,159.70763,13.745168,0.1378291,2.6068837,48800
1941HJ 3497,12.1,0.15,214.21919,62.04289,162.3985,11.316799,0.1547559,2.6853987,48800
1941SW 3522,12.2,0.15,349.1053,150.91705,202.01546,8.365728,0.2936741,3.1685258,48800
1941UG 3381,13.2,0.15,51.996101,133.16348,258.56346,4.190679,0.2036169,2.4539296,48800
1941UL 3597,11.5,0.15,41.36117,294.46481,86.981477,2.511024,0.1988455,3.1524835,48800
1941UV 2946,13,0.15,43.160239,102.54251,322.66657,0.588229,0.1736888,2.4541117,48800
1941WA 4298,12.2,0.15,193.48389,312.51339,88.241787,3.299072,0.2963505,3.0410574,48800
1942 EM 5535,13.6,0.15,268.34595,8.56187,120.79116,4.24445,0.0633833,2.2127977,49200
1942AC 4421,12.71,0.15,240.40201,0.058402,96.409935,16.266036,0.195201,2.661668,48800
1942DA 2857,12.7,0.15,211.26781,331.86051,150.15217,5.73449,0.0951872,2.4004021,48800
1942DB 4133,11.9,0.15,354.16529,245.63886,324.94478,12.09747,0.1166281,2.5831821,48800
1942DC 4227,13.5,0.15,204.31336,20.050918,133.24649,2.70789,0.1547539,2.3949596,48800
1942DM 2912,12.7,0.15,160.89356,75.346804,108.38961,7.276967,0.070734,2.2894817,48800
1942EB 3446,13.4,0.15,300.75729,94.252349,35.092325,7.676079,0.1586861,2.3762694,48800
1942RN 3223,11.2,0.15,211.09922,291.48768,168.62684,10.021772,0.1442287,2.6072301,48800
1942RT 3897,12.8,0.15,101.31237,147.49789,189.33849,7.082889,0.15753,2.6926953,48800
1943 DL 5611,12.5,0.15,54.08143,111.98354,354.54192,12.43667,0.1305758,2.5976636,49200
1943 EN 5073,13.2,0.15,332.94883,183.86408,14.82905,6.61798,0.1006448,2.2266828,49000
1943EM 2988,11.7,0.15,189.4782,132.29945,101.15297,14.704375,0.1279435,2.6060632,48800
1944BA 3037,11.6,0.15,55.765495,330.21354,108.14382,18.973306,0.1865249,2.6763321,48800
1948 KF 5038,14.1,0.15,231.72199,218.86055,65.97197,10.95401,0.282006,2.3105617,49000
1948PK 2829,10.3,0.15,36.238215,341.19667,324.27796,14.324973,0.192984,3.0845669,48800
1948RD 3382,13.1,0.15,15.444396,346.53041,358.02999,6.010622,0.1841926,2.2420218,48800
1948WF 3920,13.3,0.15,7.039709,237.07807,116.69187,9.046535,0.2724579,2.2541705,48800
1949 PQ 4979,14.2,0.15,255.5128,206.61789,69.72082,0.91326,0.1450203,2.1679036,49000
1949 QQ1 5074,11.5,0.15,86.685,84.98278,310.37377,8.56297,0.0974079,2.9943805,49000
1949 SA1 4909,13.5,0.15,242.00954,234.79025,114.25024,2.40756,0.2461009,2.2738177,49000
1949GH 4423,11.2,0.15,251.73549,103.96655,193.9244,19.262847,0.1010701,3.3909545,48800
1949PK 2465,12,0.15,164.5434,3.316115,294.58265,3.853736,0.0755568,2.7519634,48800
1949PL 3938,13,0.15,57.193959,77.267801,158.20758,2.080321,0.0418914,2.4891006,48800
