Name,Perihelion time,Perihelion AU,Eccentricity,Long. perihelion,Long. node,Inclination,Semimajor axis,Period
-none-
P/1990 S1 (Mueller 3),1999-3-23.1359,3.008954,0.286922,225.8057,137.9831,9.4237,4.21967,8.67 years, MPC 27081
C/1995 O1 (Hale-Bopp),1997-4-1.1341,0.913974,0.995089,130.5767,282.4654,89.4269,186.098,2539 years, MPC 31204
P/1996 A1 (Jedicke),1995-8-14.7653,4.051783,0.435852,223.9843,249.1848,6.6220,7.18213,19.25 years, MPC 29568
C/1996 J1-A (Evans-Drinkwater),1996-12-30.3991,1.298000,1.001404,14.8199,278.1725,22.5161,,, MPC 30428
C/1996 J1-B (Evans-Drinkwater),1996-12-30.3919,1.297797,1.000755,14.8423,278.1668,22.5177,,, MPC 31069
C/1996 P2 (Russell-Watson),1996-3-1.2760,2.007242,1.000059,188.8273,101.4057,29.0822,,, MPC 30632
C/1996 R1 (Hergenrother-Spahr),1996-8-28.6249,1.898039,0.985488,139.4175,149.7619,145.8291,130.789,1496 years, MPC 28557
P/1996 R2 (Lagerkvist),1997-1-19.5863,2.609821,0.310411,334.1452,40.2438,2.6050,3.78461,7.36 years, MPC 28557
C/1997 A1 (NEAT),1997-6-19.5580,3.157185,1.001698,40.0062,135.7662,145.0718,,, MPC 30957
P/1997 B1 (Kobayashi),1997-3-2.3000,2.054356,0.760489,183.3231,329.0638,12.3496,8.57728,25.12 years, MPC 30063
C/1997 BA6 (Spacewatch),1999-11-27.4457,3.436832,0.999640,285.9108,317.6815,72.7289,,, MPC 31204
P/1997 C1 (Gehrels),1996-1-28.9810,3.563488,0.469189,211.3140,225.8818,2.8681,6.71329,17.39 years, MPC 31204
C/1997 D1 (Mueller),1997-10-11.6097,2.247643,1.001002,184.9597,279.1711,141.8879,,, MPC 30957
P/1997 G1 (Montani),1997-4-6.5999,4.214344,0.417195,213.4827,267.8600,3.9889,7.23114,19.45 years, MPC 30957
C/1997 G2 (Montani),1998-4-16.3060,3.084879,0.994487,239.8474,55.8028,69.8434,559.554,13236 years, MPC 30428
C/1997 J1 (Mueller),1997-5-3.7989,2.302061,0.991054,98.9524,277.0779,122.9650,257.337,4128 years, MPC 31069
C/1997 J2 (Meunier-Dupouy),1998-3-10.4372,3.051092,1.000520,122.6729,148.8447,91.2734,,, MPC 31069
C/1997 L1 (Zhu-Balam),1996-11-22.8613,4.899657,0.997738,346.3658,233.3025,72.9970,,, MPC 31205
C/1997 N1 (Tabur),1997-8-15.4788,0.395697,1.000134,344.1853,147.6112,85.9634,,, MPC 30429
C/1997 O1 (Tilbrook),1997-7-13.4215,1.371802,0.984223,336.1896,231.2478,115.8039,86.9506,810.8 years, MPC 31205
C/1997 T1 (Utsunomiya),1997-12-10.1449,1.359107,0.998498,95.9649,53.7027,127.9925,905.145,27232 years, MPC 31069
P/1997 T3 (Lagerkvist-Carsenty),1998-3-10.5469,4.241172,0.365274,334.1151,63.1899,4.8362,6.68189,17.27 years, MPC 31070
P/1997 V1 (Larsen),1997-9-15.1833,3.293405,0.332163,132.8768,234.8391,12.0902,4.93145,10.95 years, MPC 31205
