Luyten Plate,Red Plate,Blue Plate,Right ascension,Declination,Nominal ctr (1855),"Galactic Long, Lat",MicroSky[tm],SAO stars,Exposure date,Exposure (min),Seeing (1-5),Hour angle,Notes
31,E-1230,O-1230,2h 29.515m,72° 39.035m,+72 2h 16m,"130.18, 11.17",µ6 Field 31,255,1954-Sep-27 R: 01:29 B: 02:25,R: 50 B: 13,R: 2  B: 2,R: 00h17m E B: 00h39m W
32,E-865,O-865,3h 39.723m,72° 27.684m,+72 3h 24m,"134.92, 13.63",µ7 Field 32,235,1953-Oct-13 R: 02:10 B: 03:02,R: 45 B: 12,R: 3  B: 3,R: 00h18m W B: 01h10m W
33,E-866,O-866,4h 48.943m,72° 17.628m,+72 4h 32m,"138.84, 17.25",µ7 Field 33,264,1953-Oct-13 R: 03:25 B: 04:17,R: 45 B: 12,R: 3  B: 4,R: 00h25m W B: 00h16m W
34,E-975,O-975,5h 57.543m,72° 2.260m,+72 5h 40m,"141.76, 21.7",µ7 Field 34,234,1954-Feb-05 R: 20:23 B: 20:05,R: 40 B: 12,R: 2  B: 1-2,R: 00h13m E B: 00h31m E
35,E-665,O-665,7h 4.977m,71° 46.830m,+72 6h 48m,"143.38, 26.72",µ8 Field 35,236,1953-Feb-10 R: 21:16 B: 22:03,R: 40 B: 10,R: 1  B: 1,R: 00h07m E B: 00h40m W
36,E-680,O-680,8h 11.883m,71° 34.842m,+72 7h 56m,"143.4, 31.96",µ8 Field 36,227,1953-Feb-17 R: 22:22 B: 22:05,R: 40 B: 10,R: 1-2  B: 2,R: 00h20m W B: 00h03m W
37,E-1325,O-1325,9h 17.982m,71° 24.047m,+72 9h 04m,"141.62, 36.98",µ8 Field 37,209,1955-Jan-25 R: 01:39 B: 02:30,R: 45 B: 12,R: 2  B: 2,R: 00h58m W B: 01h49m W
38,E-685,O-685,10h 23.506m,71° 16.087m,+72 10h 12m,"137.84, 41.31",µ9 Field 38,181,1953-Mar-06 R: 22:33 B: 23:20,R: 40 B: 10,R: 1-2  B: 1-2,R: 00h35m E B: 00h12m W
39,E-714,O-714,11h 28.781m,71° 12.039m,+72 11h 20m,"132.09, 44.43",µ9 Field 39,194,1953-Apr-11 R: 22:41 B: 22:21,R: 45 B: 10,R: 2  B: 1-2,R: 00h48m W B: 00h28m W
40,E-1411,O-1411,12h 34.154m,71° 11.978m,+72 12h 28m,"124.93, 45.86",µ9 Field 40,229,1955-Apr-24 R: 22:55 B: 22:35,R: 50 B: 12,R: 1-2  B: 1-2,R: 00h46m W B: 00h26m W
41,E-1341,O-1341,13h 39.479m,71° 15.832m,+72 13h 36m,"117.47, 45.35",µ10 Field 41,200,1955-Mar-03 R: 03:54 B: 03:36,R: 50 B: 12,R: 1-2  B: 2,R: 01h15m W B: 00h56m W
42,E-1442,O-1442,14h 44.938m,71° 23.800m,+72 14h 44m,"110.97, 43",µ10 Field 42,215,1955-May-22 R: 00:18 B: 01:14,R: 50 B: 12,R: 2  B: 2,R: 01h47m W B: 02h43m W
43,E-752,O-752,15h 51.222m,71° 34.278m,+72 15h 52m,"106.19, 39.18",µ10 Field 43,255,1953-Jun-13 R: 22:31 B: 22:13,R: 45 B: 12,R: 2  B: 2,R: 00h21m W B: 00h03m W
44,E-756,O-756,16h 58.060m,71° 47.066m,+72 17h 00m,"103.45, 34.42",µ11 Field 44,300,1953-Jun-14 R: 23:18 B: 23:00,R: 45 B: 12,R: 2  B: 2,R: 00h05m W B: 00h13m E
45,E-801,O-801,18h 5.432m,72° 1.676m,+72 18h 08m,"102.66, 29.24",µ11 Field 45,303,1953-Sep-02 R: 19:38 B: 20:29,R: 45 B: 12,R: 2  B: 2,R: 00h32m W B: 01h23m W
46,E-1149,O-1149,19h 13.874m,72° 14.929m,+72 19h 16m,"103.52, 24.06",µ11 Field 46,255,1954-Jul-28 R: 22:00 B: 22:57,R: 50 B: 13,R: 2-3  B: 3,R: 00h36m E B: 00h21m W
47,E-809,O-809,20h 23.319m,72° 28.780m,+72 20h 24m,"105.86, 19.29",µ12 Field 47,228,1953-Sep-05 R: 20:40 B: 21:32,R: 45 B: 12,R: 2  B: 2,R: 00h31m E B: 00h21m W
